#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.185958E-03   0.197798E+08   0.197796E+08   0.223498E+08   0.222676E+08   0.197700E+08   0.197797E+08   0.197798E+08   0.197854E+08  -0.472886E+00   0.104429E+08   0.104429E+08   0.873795E+02
   0.205334E-03   0.197781E+08   0.197779E+08   0.215453E+08   0.214479E+08   0.197657E+08   0.197780E+08   0.197781E+08   0.197834E+08  -0.472835E+00   0.104420E+08   0.104419E+08   0.954926E+02
   0.226729E-03   0.197760E+08   0.197758E+08   0.206009E+08   0.204862E+08   0.197604E+08   0.197759E+08   0.197760E+08   0.197811E+08  -0.472775E+00   0.104409E+08   0.104408E+08   0.104128E+03
   0.250352E-03   0.197735E+08   0.197733E+08   0.195015E+08   0.193675E+08   0.197540E+08   0.197734E+08   0.197735E+08   0.197783E+08  -0.472701E+00   0.104395E+08   0.104394E+08   0.113242E+03
   0.276438E-03   0.197705E+08   0.197702E+08   0.182351E+08   0.180801E+08   0.197462E+08   0.197703E+08   0.197704E+08   0.197749E+08  -0.472613E+00   0.104379E+08   0.104378E+08   0.122757E+03
   0.305241E-03   0.197668E+08   0.197664E+08   0.167953E+08   0.166181E+08   0.197368E+08   0.197666E+08   0.197667E+08   0.197708E+08  -0.472507E+00   0.104359E+08   0.104358E+08   0.132559E+03
   0.337046E-03   0.197624E+08   0.197619E+08   0.151846E+08   0.149849E+08   0.197254E+08   0.197621E+08   0.197623E+08   0.197659E+08  -0.472380E+00   0.104335E+08   0.104334E+08   0.142480E+03
   0.372164E-03   0.197570E+08   0.197565E+08   0.134186E+08   0.131977E+08   0.197115E+08   0.197567E+08   0.197569E+08   0.197601E+08  -0.472229E+00   0.104306E+08   0.104305E+08   0.152301E+03
   0.410942E-03   0.197506E+08   0.197500E+08   0.115309E+08   0.112921E+08   0.196947E+08   0.197502E+08   0.197505E+08   0.197531E+08  -0.472049E+00   0.104272E+08   0.104270E+08   0.161736E+03
   0.453760E-03   0.197428E+08   0.197421E+08   0.957674E+07   0.932587E+07   0.196744E+08   0.197424E+08   0.197427E+08   0.197448E+08  -0.471836E+00   0.104230E+08   0.104228E+08   0.170435E+03
   0.501039E-03   0.197336E+08   0.197328E+08   0.763469E+07   0.738064E+07   0.196500E+08   0.197331E+08   0.197335E+08   0.197350E+08  -0.471586E+00   0.104180E+08   0.104177E+08   0.177993E+03
   0.553245E-03   0.197225E+08   0.197216E+08   0.580400E+07   0.555856E+07   0.196205E+08   0.197219E+08   0.197224E+08   0.197234E+08  -0.471291E+00   0.104120E+08   0.104117E+08   0.183964E+03
   0.610890E-03   0.197094E+08   0.197083E+08   0.419381E+07   0.397087E+07   0.195851E+08   0.197087E+08   0.197093E+08   0.197097E+08  -0.470947E+00   0.104049E+08   0.104046E+08   0.187903E+03
   0.674541E-03   0.196939E+08   0.196926E+08   0.290296E+07   0.271663E+07   0.195426E+08   0.196930E+08   0.196937E+08   0.196937E+08  -0.470547E+00   0.103966E+08   0.103962E+08   0.189412E+03
   0.744825E-03   0.196756E+08   0.196741E+08   0.199092E+07   0.185250E+07   0.194919E+08   0.196745E+08   0.196753E+08   0.196750E+08  -0.470083E+00   0.103867E+08   0.103863E+08   0.188204E+03
   0.822432E-03   0.196540E+08   0.196524E+08   0.144774E+07   0.136203E+07   0.194314E+08   0.196527E+08   0.196537E+08   0.196531E+08  -0.469545E+00   0.103751E+08   0.103746E+08   0.184170E+03
   0.908125E-03   0.196288E+08   0.196270E+08   0.117945E+07   0.114188E+07   0.193595E+08   0.196273E+08   0.196285E+08   0.196276E+08  -0.468924E+00   0.103615E+08   0.103610E+08   0.177413E+03
   0.100275E-02   0.195993E+08   0.195974E+08   0.103065E+07   0.102712E+07   0.192744E+08   0.195976E+08   0.195990E+08   0.195978E+08  -0.468205E+00   0.103457E+08   0.103452E+08   0.168251E+03
   0.110723E-02   0.195651E+08   0.195630E+08   0.854532E+06   0.865679E+06   0.191741E+08   0.195630E+08   0.195648E+08   0.195632E+08  -0.467373E+00   0.103274E+08   0.103269E+08   0.157159E+03
   0.122260E-02   0.195254E+08   0.195232E+08   0.602608E+06   0.611585E+06   0.190563E+08   0.195229E+08   0.195250E+08   0.195231E+08  -0.466410E+00   0.103062E+08   0.103057E+08   0.144687E+03
   0.134998E-02   0.194795E+08   0.194773E+08   0.356814E+06   0.355872E+06   0.189190E+08   0.194766E+08   0.194791E+08   0.194767E+08  -0.465298E+00   0.102817E+08   0.102812E+08   0.131412E+03
   0.149064E-02   0.194266E+08   0.194243E+08   0.233251E+06   0.223813E+06   0.187605E+08   0.194232E+08   0.194262E+08   0.194233E+08  -0.464018E+00   0.102535E+08   0.102530E+08   0.117948E+03
   0.164596E-02   0.193657E+08   0.193635E+08   0.221741E+06  -0.172331E+06   0.185785E+08   0.193618E+08   0.193653E+08   0.193618E+08  -0.462546E+00   0.102211E+08   0.102206E+08   0.104985E+03
   0.181746E-02   0.192959E+08   0.192937E+08   0.186050E+06  -0.140825E+06   0.183717E+08   0.192914E+08   0.192956E+08   0.192914E+08  -0.460863E+00   0.101840E+08   0.101835E+08   0.931998E+02
   0.200683E-02   0.192162E+08   0.192139E+08   0.899610E+05  -0.115020E+06   0.181384E+08   0.192110E+08   0.192158E+08   0.192110E+08  -0.458939E+00   0.101415E+08   0.101410E+08   0.830302E+02
   0.221593E-02   0.191253E+08   0.191230E+08   0.524771E+05  -0.938893E+05   0.178780E+08   0.191194E+08   0.191250E+08   0.191194E+08  -0.456749E+00   0.100932E+08   0.100927E+08   0.745376E+02
   0.244682E-02   0.190222E+08   0.190197E+08   0.595504E+05  -0.765910E+05   0.175898E+08   0.190154E+08   0.190218E+08   0.190154E+08  -0.454263E+00   0.100384E+08   0.100379E+08   0.674882E+02
   0.270177E-02   0.189055E+08   0.189029E+08   0.240767E+05  -0.624340E+05   0.172739E+08   0.188978E+08   0.189051E+08   0.188978E+08  -0.451453E+00   0.997642E+07   0.997592E+07   0.614340E+02
   0.298328E-02   0.187741E+08   0.187713E+08   0.246135E+05  -0.508528E+05   0.169301E+08   0.187653E+08   0.187736E+08   0.187653E+08  -0.448288E+00   0.990660E+07   0.990610E+07   0.558383E+02
   0.329412E-02   0.186265E+08   0.186235E+08   0.103516E+05  -0.413827E+05   0.165581E+08   0.186167E+08   0.186260E+08   0.186167E+08  -0.444738E+00   0.982828E+07   0.982778E+07   0.504265E+02
   0.363735E-02   0.184616E+08   0.184583E+08   0.452542E+04  -0.336430E+05   0.161569E+08   0.184507E+08   0.184611E+08   0.184507E+08  -0.440770E+00   0.974076E+07   0.974027E+07   0.452829E+02
   0.401634E-02   0.182779E+08   0.182744E+08  -0.307404E+04  -0.273212E+05   0.157255E+08   0.182659E+08   0.182774E+08   0.182659E+08  -0.436355E+00   0.964336E+07   0.964287E+07   0.407016E+02
