#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.269759E+00   0.713681E+06   0.710394E+06  -0.234342E+00  -0.238972E+00   0.136564E+05   0.710012E+06   0.713165E+06   0.710012E+06  -0.169614E-01   0.375431E+06   0.375393E+06   0.460866E-01
   0.275176E+00   0.691804E+06   0.688515E+06  -0.218302E+00  -0.222615E+00   0.128063E+05   0.688229E+06   0.691287E+06   0.688229E+06  -0.164411E-01   0.363913E+06   0.363876E+06   0.450259E-01
   0.280592E+00   0.670292E+06   0.666983E+06  -0.203425E+00  -0.207444E+00   0.120102E+05   0.666807E+06   0.669772E+06   0.666807E+06  -0.159293E-01   0.352587E+06   0.352550E+06   0.441372E-01
   0.286008E+00   0.649726E+06   0.646410E+06  -0.189784E+00  -0.193533E+00   0.112744E+05   0.646329E+06   0.649205E+06   0.646329E+06  -0.154401E-01   0.341759E+06   0.341722E+06   0.430940E-01
   0.291424E+00   0.630621E+06   0.627332E+06  -0.177419E+00  -0.180924E+00   0.106030E+05   0.627312E+06   0.630104E+06   0.627312E+06  -0.149858E-01   0.331704E+06   0.331668E+06   0.417047E-01
   0.296841E+00   0.613279E+06   0.610061E+06  -0.166302E+00  -0.169587E+00   0.999630E+04   0.610057E+06   0.612774E+06   0.610057E+06  -0.145736E-01   0.322580E+06   0.322545E+06   0.399299E-01
   0.302257E+00   0.597663E+06   0.594554E+06  -0.156314E+00  -0.159402E+00   0.944866E+04   0.594526E+06   0.597175E+06   0.594526E+06  -0.142026E-01   0.314368E+06   0.314334E+06   0.378581E-01
   0.307673E+00   0.583439E+06   0.580464E+06  -0.147272E+00  -0.150181E+00   0.895048E+04   0.580385E+06   0.582972E+06   0.580385E+06  -0.138648E-01   0.306891E+06   0.306858E+06   0.356570E-01
   0.313090E+00   0.570154E+06   0.567319E+06  -0.138985E+00  -0.141731E+00   0.849135E+04   0.567179E+06   0.569709E+06   0.567179E+06  -0.135493E-01   0.299909E+06   0.299877E+06   0.335167E-01
   0.318506E+00   0.557381E+06   0.554675E+06  -0.131293E+00  -0.133887E+00   0.806229E+04   0.554482E+06   0.556956E+06   0.554482E+06  -0.132460E-01   0.293195E+06   0.293165E+06   0.315978E-01
   0.323922E+00   0.544782E+06   0.542181E+06  -0.124072E+00  -0.126523E+00   0.765654E+04   0.541955E+06   0.544374E+06   0.541955E+06  -0.129467E-01   0.286571E+06   0.286542E+06   0.299963E-01
   0.329338E+00   0.532135E+06   0.529609E+06  -0.117240E+00  -0.119556E+00   0.726956E+04   0.529375E+06   0.531739E+06   0.529375E+06  -0.126462E-01   0.279920E+06   0.279891E+06   0.287303E-01
   0.334755E+00   0.519377E+06   0.516898E+06  -0.110756E+00  -0.112944E+00   0.689946E+04   0.516680E+06   0.518988E+06   0.516680E+06  -0.123429E-01   0.273207E+06   0.273179E+06   0.277500E-01
   0.340171E+00   0.506616E+06   0.504165E+06  -0.104622E+00  -0.106689E+00   0.654670E+04   0.503979E+06   0.506231E+06   0.503979E+06  -0.120395E-01   0.266492E+06   0.266464E+06   0.269619E-01
   0.345587E+00   0.494078E+06   0.491646E+06  -0.988593E-01  -0.100812E+00   0.621315E+04   0.491499E+06   0.493696E+06   0.491499E+06  -0.117414E-01   0.259893E+06   0.259866E+06   0.262595E-01
   0.351003E+00   0.482001E+06   0.479590E+06  -0.934890E-01  -0.953358E-01   0.590061E+04   0.479478E+06   0.481622E+06   0.479478E+06  -0.114542E-01   0.253537E+06   0.253510E+06   0.255495E-01
   0.356420E+00   0.470550E+06   0.468169E+06  -0.885151E-01  -0.902636E-01   0.560973E+04   0.468082E+06   0.470176E+06   0.468082E+06  -0.111820E-01   0.247511E+06   0.247484E+06   0.247705E-01
   0.361836E+00   0.459798E+06   0.457461E+06  -0.839228E-01  -0.855806E-01   0.534004E+04   0.457384E+06   0.459431E+06   0.457384E+06  -0.109264E-01   0.241854E+06   0.241828E+06   0.239016E-01
   0.367252E+00   0.449740E+06   0.447461E+06  -0.796842E-01  -0.812583E-01   0.509013E+04   0.447379E+06   0.449382E+06   0.447379E+06  -0.106874E-01   0.236564E+06   0.236539E+06   0.229584E-01
   0.372669E+00   0.440307E+06   0.438094E+06  -0.757625E-01  -0.772591E-01   0.485799E+04   0.437998E+06   0.439959E+06   0.437998E+06  -0.104633E-01   0.231604E+06   0.231579E+06   0.219826E-01
   0.378085E+00   0.431370E+06   0.429226E+06  -0.721143E-01  -0.735388E-01   0.464114E+04   0.429111E+06   0.431033E+06   0.429111E+06  -0.102510E-01   0.226905E+06   0.226881E+06   0.210253E-01
   0.383501E+00   0.422766E+06   0.420688E+06  -0.686945E-01  -0.700515E-01   0.443694E+04   0.420555E+06   0.422440E+06   0.420555E+06  -0.100466E-01   0.222381E+06   0.222358E+06   0.201326E-01
   0.388917E+00   0.414347E+06   0.412328E+06  -0.654651E-01  -0.667583E-01   0.424315E+04   0.412183E+06   0.414030E+06   0.412183E+06  -0.984662E-02   0.217954E+06   0.217931E+06   0.193345E-01
   0.394334E+00   0.406024E+06   0.404053E+06  -0.624004E-01  -0.636330E-01   0.405828E+04   0.403904E+06   0.405714E+06   0.403904E+06  -0.964884E-02   0.213576E+06   0.213554E+06   0.186413E-01
   0.399750E+00   0.397774E+06   0.395841E+06  -0.594874E-01  -0.606625E-01   0.388166E+04   0.395697E+06   0.397471E+06   0.395697E+06  -0.945278E-02   0.209236E+06   0.209215E+06   0.180437E-01
   0.405166E+00   0.389628E+06   0.387724E+06  -0.567217E-01  -0.578421E-01   0.371316E+04   0.387590E+06   0.389329E+06   0.387590E+06  -0.925913E-02   0.204950E+06   0.204929E+06   0.175187E-01
   0.410583E+00   0.381639E+06   0.379761E+06  -0.541026E-01  -0.551712E-01   0.355285E+04   0.379641E+06   0.381344E+06   0.379641E+06  -0.906923E-02   0.200747E+06   0.200726E+06   0.170368E-01
   0.415999E+00   0.373870E+06   0.372017E+06  -0.516300E-01  -0.526498E-01   0.340090E+04   0.371910E+06   0.373579E+06   0.371910E+06  -0.888455E-02   0.196659E+06   0.196638E+06   0.165699E-01
   0.421415E+00   0.366378E+06   0.364551E+06  -0.493032E-01  -0.502770E-01   0.325734E+04   0.364455E+06   0.366091E+06   0.364455E+06  -0.870646E-02   0.192717E+06   0.192697E+06   0.160979E-01
   0.426831E+00   0.359205E+06   0.357410E+06  -0.471191E-01  -0.480498E-01   0.312214E+04   0.357320E+06   0.358923E+06   0.357320E+06  -0.853599E-02   0.188944E+06   0.188924E+06   0.156114E-01
   0.432248E+00   0.352366E+06   0.350605E+06  -0.450711E-01  -0.459613E-01   0.299494E+04   0.350516E+06   0.352090E+06   0.350516E+06  -0.837346E-02   0.185346E+06   0.185327E+06   0.151114E-01
   0.437664E+00   0.345834E+06   0.344110E+06  -0.431476E-01  -0.439999E-01   0.287511E+04   0.344018E+06   0.345563E+06   0.344018E+06  -0.821824E-02   0.181911E+06   0.181891E+06   0.146069E-01
   0.443080E+00   0.339555E+06   0.337870E+06  -0.413351E-01  -0.421516E-01   0.276181E+04   0.337773E+06   0.339290E+06   0.337773E+06  -0.806904E-02   0.178608E+06   0.178590E+06   0.141110E-01
   0.448497E+00   0.333476E+06   0.331830E+06  -0.396209E-01  -0.404035E-01   0.265429E+04   0.331728E+06   0.333218E+06   0.331728E+06  -0.792463E-02   0.175412E+06   0.175393E+06   0.136367E-01
   0.453913E+00   0.327559E+06   0.325948E+06  -0.379948E-01  -0.387453E-01   0.255195E+04   0.325842E+06   0.327306E+06   0.325842E+06  -0.778403E-02   0.172300E+06   0.172282E+06   0.131940E-01
   0.459329E+00   0.321770E+06   0.320191E+06  -0.364485E-01  -0.371684E-01   0.245428E+04   0.320084E+06   0.321522E+06   0.320084E+06  -0.764646E-02   0.169255E+06   0.169237E+06   0.127873E-01
   0.464745E+00   0.316081E+06   0.314531E+06  -0.349745E-01  -0.356653E-01   0.236084E+04   0.314425E+06   0.315837E+06   0.314425E+06  -0.751127E-02   0.166262E+06   0.166245E+06   0.124155E-01
   0.470162E+00   0.310485E+06   0.308960E+06  -0.335684E-01  -0.342314E-01   0.227140E+04   0.308857E+06   0.310245E+06   0.308857E+06  -0.737827E-02   0.163318E+06   0.163301E+06   0.120729E-01
   0.475578E+00   0.304998E+06   0.303496E+06  -0.322284E-01  -0.328650E-01   0.218587E+04   0.303398E+06   0.304762E+06   0.303398E+06  -0.724787E-02   0.160432E+06   0.160415E+06   0.117518E-01
   0.480994E+00   0.299648E+06   0.298168E+06  -0.309540E-01  -0.315654E-01   0.210428E+04   0.298076E+06   0.299416E+06   0.298076E+06  -0.712071E-02   0.157617E+06   0.157601E+06   0.114440E-01
   0.486411E+00   0.294454E+06   0.292995E+06  -0.297438E-01  -0.303313E-01   0.202657E+04   0.292908E+06   0.294225E+06   0.292908E+06  -0.699726E-02   0.154885E+06   0.154868E+06   0.111428E-01
   0.491827E+00   0.289422E+06   0.287986E+06  -0.285952E-01  -0.291600E-01   0.195261E+04   0.287902E+06   0.289196E+06   0.287902E+06  -0.687767E-02   0.152238E+06   0.152222E+06   0.108439E-01
   0.497243E+00   0.284553E+06   0.283140E+06  -0.275051E-01  -0.280484E-01   0.188222E+04   0.283058E+06   0.284331E+06   0.283058E+06  -0.676196E-02   0.149676E+06   0.149661E+06   0.105464E-01
   0.502659E+00   0.279844E+06   0.278457E+06  -0.264703E-01  -0.269931E-01   0.181523E+04   0.278374E+06   0.279626E+06   0.278374E+06  -0.665007E-02   0.147200E+06   0.147184E+06   0.102517E-01
   0.508076E+00   0.275288E+06   0.273925E+06  -0.254871E-01  -0.259905E-01   0.175142E+04   0.273842E+06   0.275074E+06   0.273842E+06  -0.654179E-02   0.144803E+06   0.144788E+06   0.996287E-02
   0.513492E+00   0.270865E+06   0.269526E+06  -0.245515E-01  -0.250364E-01   0.169054E+04   0.269442E+06   0.270654E+06   0.269442E+06  -0.643669E-02   0.142477E+06   0.142462E+06   0.968349E-02
   0.518908E+00   0.266553E+06   0.265238E+06  -0.236590E-01  -0.241263E-01   0.163231E+04   0.265153E+06   0.266346E+06   0.265153E+06  -0.633423E-02   0.140209E+06   0.140194E+06   0.941638E-02
   0.524324E+00   0.262335E+06   0.261043E+06  -0.228061E-01  -0.232566E-01   0.157652E+04   0.260958E+06   0.262132E+06   0.260958E+06  -0.623400E-02   0.137990E+06   0.137976E+06   0.916321E-02
   0.529741E+00   0.258204E+06   0.256932E+06  -0.219903E-01  -0.224247E-01   0.152301E+04   0.256848E+06   0.258004E+06   0.256848E+06  -0.613583E-02   0.135817E+06   0.135803E+06   0.892419E-02
   0.535157E+00   0.254158E+06   0.252906E+06  -0.212099E-01  -0.216288E-01   0.147169E+04   0.252823E+06   0.253961E+06   0.252823E+06  -0.603967E-02   0.133689E+06   0.133675E+06   0.869823E-02
   0.540573E+00   0.250197E+06   0.248964E+06  -0.204631E-01  -0.208673E-01   0.142246E+04   0.248883E+06   0.250003E+06   0.248883E+06  -0.594555E-02   0.131606E+06   0.131592E+06   0.848323E-02
   0.545990E+00   0.246323E+06   0.245107E+06  -0.197485E-01  -0.201386E-01   0.137524E+04   0.245028E+06   0.246132E+06   0.245028E+06  -0.585347E-02   0.129567E+06   0.129554E+06   0.827671E-02
   0.551406E+00   0.242538E+06   0.241339E+06  -0.190649E-01  -0.194415E-01   0.132996E+04   0.241263E+06   0.242349E+06   0.241263E+06  -0.576352E-02   0.127576E+06   0.127563E+06   0.807643E-02
   0.556822E+00   0.238848E+06   0.237667E+06  -0.184115E-01  -0.187751E-01   0.128658E+04   0.237593E+06   0.238663E+06   0.237593E+06  -0.567585E-02   0.125636E+06   0.125623E+06   0.788086E-02
   0.562238E+00   0.235259E+06   0.234095E+06  -0.177871E-01  -0.181384E-01   0.124504E+04   0.234022E+06   0.235076E+06   0.234022E+06  -0.559054E-02   0.123748E+06   0.123735E+06   0.768921E-02
   0.567655E+00   0.231766E+06   0.230619E+06  -0.171903E-01  -0.175298E-01   0.120524E+04   0.230547E+06   0.231586E+06   0.230547E+06  -0.550754E-02   0.121910E+06   0.121897E+06   0.750142E-02
   0.573071E+00   0.228362E+06   0.227233E+06  -0.166191E-01  -0.169474E-01   0.116708E+04   0.227161E+06   0.228184E+06   0.227161E+06  -0.542664E-02   0.120120E+06   0.120107E+06   0.731797E-02
   0.578487E+00   0.225040E+06   0.223928E+06  -0.160722E-01  -0.163896E-01   0.113046E+04   0.223857E+06   0.224865E+06   0.223857E+06  -0.534771E-02   0.118372E+06   0.118360E+06   0.713963E-02
   0.583904E+00   0.221797E+06   0.220702E+06  -0.155481E-01  -0.158552E-01   0.109530E+04   0.220631E+06   0.221625E+06   0.220631E+06  -0.527063E-02   0.116666E+06   0.116654E+06   0.696724E-02
   0.589320E+00   0.218627E+06   0.217548E+06  -0.150455E-01  -0.153427E-01   0.106151E+04   0.217478E+06   0.218458E+06   0.217478E+06  -0.519532E-02   0.114999E+06   0.114987E+06   0.680136E-02
   0.594736E+00   0.215525E+06   0.214462E+06  -0.145632E-01  -0.148508E-01   0.102902E+04   0.214392E+06   0.215358E+06   0.214392E+06  -0.512161E-02   0.113368E+06   0.113356E+06   0.664211E-02
   0.600152E+00   0.212485E+06   0.211437E+06  -0.140997E-01  -0.143782E-01   0.997737E+03   0.211368E+06   0.212320E+06   0.211368E+06  -0.504935E-02   0.111768E+06   0.111757E+06   0.648921E-02
   0.605569E+00   0.209504E+06   0.208470E+06  -0.136544E-01  -0.139241E-01   0.967615E+03   0.208402E+06   0.209342E+06   0.208402E+06  -0.497852E-02   0.110200E+06   0.110189E+06   0.634213E-02
   0.610985E+00   0.206586E+06   0.205566E+06  -0.132266E-01  -0.134878E-01   0.938624E+03   0.205499E+06   0.206426E+06   0.205499E+06  -0.490916E-02   0.108665E+06   0.108654E+06   0.620020E-02
   0.616401E+00   0.203731E+06   0.202726E+06  -0.128156E-01  -0.130687E-01   0.910723E+03   0.202660E+06   0.203573E+06   0.202660E+06  -0.484133E-02   0.107164E+06   0.107153E+06   0.606271E-02
   0.621818E+00   0.200940E+06   0.199947E+06  -0.124208E-01  -0.126661E-01   0.883868E+03   0.199883E+06   0.200784E+06   0.199883E+06  -0.477499E-02   0.105695E+06   0.105684E+06   0.592903E-02
   0.627234E+00   0.198208E+06   0.197229E+06  -0.120413E-01  -0.122791E-01   0.858010E+03   0.197166E+06   0.198054E+06   0.197166E+06  -0.471008E-02   0.104259E+06   0.104248E+06   0.579871E-02
   0.632650E+00   0.195537E+06   0.194571E+06  -0.116765E-01  -0.119071E-01   0.833109E+03   0.194508E+06   0.195385E+06   0.194508E+06  -0.464660E-02   0.102853E+06   0.102843E+06   0.567157E-02
   0.638066E+00   0.192926E+06   0.191973E+06  -0.113258E-01  -0.115495E-01   0.809136E+03   0.191911E+06   0.192776E+06   0.191911E+06  -0.458455E-02   0.101480E+06   0.101469E+06   0.554761E-02
   0.643483E+00   0.190374E+06   0.189434E+06  -0.109887E-01  -0.112057E-01   0.786044E+03   0.189372E+06   0.190226E+06   0.189372E+06  -0.452391E-02   0.100138E+06   0.100127E+06   0.542697E-02
   0.648899E+00   0.187876E+06   0.186948E+06  -0.106642E-01  -0.108748E-01   0.763787E+03   0.186887E+06   0.187730E+06   0.186887E+06  -0.446454E-02   0.988237E+05   0.988134E+05   0.530975E-02
   0.654315E+00   0.185428E+06   0.184513E+06  -0.103517E-01  -0.105562E-01   0.742315E+03   0.184452E+06   0.185284E+06   0.184452E+06  -0.440637E-02   0.975360E+05   0.975258E+05   0.519606E-02
   0.659732E+00   0.183028E+06   0.182125E+06  -0.100507E-01  -0.102492E-01   0.721595E+03   0.182065E+06   0.182886E+06   0.182065E+06  -0.434935E-02   0.962738E+05   0.962638E+05   0.508594E-02
   0.665148E+00   0.180677E+06   0.179785E+06  -0.976068E-02  -0.995346E-02   0.701602E+03   0.179726E+06   0.180537E+06   0.179726E+06  -0.429347E-02   0.950370E+05   0.950271E+05   0.497937E-02
   0.670564E+00   0.178372E+06   0.177492E+06  -0.948116E-02  -0.966842E-02   0.682302E+03   0.177434E+06   0.178234E+06   0.177434E+06  -0.423871E-02   0.938249E+05   0.938151E+05   0.487617E-02
   0.675980E+00   0.176112E+06   0.175243E+06  -0.921163E-02  -0.939356E-02   0.663664E+03   0.175186E+06   0.175976E+06   0.175186E+06  -0.418500E-02   0.926360E+05   0.926263E+05   0.477610E-02
   0.681397E+00   0.173895E+06   0.173036E+06  -0.895162E-02  -0.912842E-02   0.645655E+03   0.172979E+06   0.173760E+06   0.172979E+06  -0.413230E-02   0.914694E+05   0.914599E+05   0.467891E-02
   0.686813E+00   0.171720E+06   0.170872E+06  -0.870082E-02  -0.887266E-02   0.628259E+03   0.170816E+06   0.171587E+06   0.170816E+06  -0.408062E-02   0.903256E+05   0.903162E+05   0.458438E-02
   0.692229E+00   0.169590E+06   0.168752E+06  -0.845894E-02  -0.862600E-02   0.611458E+03   0.168697E+06   0.169458E+06   0.168697E+06  -0.403000E-02   0.892050E+05   0.891957E+05   0.449232E-02
   0.697645E+00   0.167502E+06   0.166675E+06  -0.822561E-02  -0.838807E-02   0.595226E+03   0.166621E+06   0.167372E+06   0.166621E+06  -0.398040E-02   0.881071E+05   0.880979E+05   0.440262E-02
   0.703062E+00   0.165456E+06   0.164639E+06  -0.800041E-02  -0.815842E-02   0.579540E+03   0.164585E+06   0.165327E+06   0.164585E+06  -0.393176E-02   0.870305E+05   0.870214E+05   0.431516E-02
   0.708478E+00   0.163448E+06   0.162641E+06  -0.778295E-02  -0.793666E-02   0.564369E+03   0.162588E+06   0.163321E+06   0.162588E+06  -0.388404E-02   0.859743E+05   0.859654E+05   0.422990E-02
   0.713894E+00   0.161479E+06   0.160682E+06  -0.757295E-02  -0.772252E-02   0.549701E+03   0.160629E+06   0.161353E+06   0.160629E+06  -0.383725E-02   0.849385E+05   0.849296E+05   0.414684E-02
   0.719311E+00   0.159548E+06   0.158760E+06  -0.737016E-02  -0.751573E-02   0.535516E+03   0.158708E+06   0.159424E+06   0.158708E+06  -0.379137E-02   0.839230E+05   0.839142E+05   0.406601E-02
   0.724727E+00   0.157654E+06   0.156876E+06  -0.717424E-02  -0.731593E-02   0.521793E+03   0.156824E+06   0.157532E+06   0.156824E+06  -0.374637E-02   0.829268E+05   0.829182E+05   0.398737E-02
   0.730143E+00   0.155795E+06   0.155026E+06  -0.698483E-02  -0.712278E-02   0.508509E+03   0.154974E+06   0.155674E+06   0.154974E+06  -0.370218E-02   0.819487E+05   0.819401E+05   0.391087E-02
   0.735559E+00   0.153968E+06   0.153208E+06  -0.680165E-02  -0.693599E-02   0.495645E+03   0.153157E+06   0.153848E+06   0.153157E+06  -0.365877E-02   0.809878E+05   0.809793E+05   0.383644E-02
   0.740976E+00   0.152174E+06   0.151423E+06  -0.662451E-02  -0.675534E-02   0.483190E+03   0.151373E+06   0.152056E+06   0.151373E+06  -0.361615E-02   0.800444E+05   0.800360E+05   0.376402E-02
   0.746392E+00   0.150414E+06   0.149672E+06  -0.645321E-02  -0.658066E-02   0.471130E+03   0.149622E+06   0.150298E+06   0.149622E+06  -0.357432E-02   0.791186E+05   0.791103E+05   0.369351E-02
   0.751808E+00   0.148686E+06   0.147953E+06  -0.628750E-02  -0.641168E-02   0.459450E+03   0.147903E+06   0.148571E+06   0.147903E+06  -0.353326E-02   0.782097E+05   0.782015E+05   0.362482E-02
   0.757225E+00   0.146989E+06   0.146263E+06  -0.612712E-02  -0.624813E-02   0.448131E+03   0.146215E+06   0.146875E+06   0.146215E+06  -0.349292E-02   0.773167E+05   0.773086E+05   0.355783E-02
   0.762641E+00   0.145321E+06   0.144604E+06  -0.597186E-02  -0.608980E-02   0.437160E+03   0.144556E+06   0.145208E+06   0.144556E+06  -0.345328E-02   0.764394E+05   0.764314E+05   0.349248E-02
   0.768057E+00   0.143683E+06   0.142974E+06  -0.582158E-02  -0.593655E-02   0.426530E+03   0.142926E+06   0.143572E+06   0.142926E+06  -0.341436E-02   0.755779E+05   0.755700E+05   0.342871E-02
   0.773473E+00   0.142075E+06   0.141374E+06  -0.567611E-02  -0.578821E-02   0.416226E+03   0.141327E+06   0.141965E+06   0.141327E+06  -0.337616E-02   0.747323E+05   0.747245E+05   0.336649E-02
   0.778890E+00   0.140496E+06   0.139803E+06  -0.553523E-02  -0.564456E-02   0.406238E+03   0.139756E+06   0.140387E+06   0.139756E+06  -0.333863E-02   0.739017E+05   0.738939E+05   0.330577E-02
   0.784306E+00   0.138944E+06   0.138258E+06  -0.539874E-02  -0.550536E-02   0.396549E+03   0.138212E+06   0.138836E+06   0.138212E+06  -0.330175E-02   0.730851E+05   0.730775E+05   0.324652E-02
   0.789722E+00   0.137418E+06   0.136740E+06  -0.526646E-02  -0.537047E-02   0.387148E+03   0.136694E+06   0.137311E+06   0.136694E+06  -0.326548E-02   0.722824E+05   0.722749E+05   0.318869E-02
   0.795139E+00   0.135919E+06   0.135248E+06  -0.513827E-02  -0.523975E-02   0.378030E+03   0.135203E+06   0.135813E+06   0.135203E+06  -0.322985E-02   0.714937E+05   0.714863E+05   0.313229E-02
   0.800555E+00   0.134445E+06   0.133782E+06  -0.501405E-02  -0.511307E-02   0.369182E+03   0.133737E+06   0.134341E+06   0.133737E+06  -0.319485E-02   0.707189E+05   0.707115E+05   0.307727E-02
   0.805971E+00   0.132997E+06   0.132341E+06  -0.489360E-02  -0.499025E-02   0.360595E+03   0.132297E+06   0.132894E+06   0.132297E+06  -0.316043E-02   0.699571E+05   0.699498E+05   0.302359E-02
   0.811387E+00   0.131572E+06   0.130923E+06  -0.477676E-02  -0.487110E-02   0.352256E+03   0.130880E+06   0.131470E+06   0.130880E+06  -0.312657E-02   0.692077E+05   0.692005E+05   0.297118E-02
   0.816804E+00   0.130171E+06   0.129529E+06  -0.466342E-02  -0.475552E-02   0.344159E+03   0.129486E+06   0.130070E+06   0.129486E+06  -0.309327E-02   0.684706E+05   0.684634E+05   0.292002E-02
   0.822220E+00   0.128794E+06   0.128158E+06  -0.455349E-02  -0.464342E-02   0.336297E+03   0.128115E+06   0.128694E+06   0.128115E+06  -0.306054E-02   0.677460E+05   0.677389E+05   0.287005E-02
   0.827636E+00   0.127440E+06   0.126811E+06  -0.444684E-02  -0.453467E-02   0.328663E+03   0.126768E+06   0.127341E+06   0.126768E+06  -0.302836E-02   0.670338E+05   0.670268E+05   0.282125E-02
   0.833053E+00   0.126108E+06   0.125486E+06  -0.434334E-02  -0.442912E-02   0.321247E+03   0.125444E+06   0.126010E+06   0.125444E+06  -0.299672E-02   0.663333E+05   0.663264E+05   0.277356E-02
   0.838469E+00   0.124797E+06   0.124182E+06  -0.424285E-02  -0.432665E-02   0.314038E+03   0.124140E+06   0.124701E+06   0.124140E+06  -0.296557E-02   0.656439E+05   0.656370E+05   0.272695E-02
   0.843885E+00   0.123508E+06   0.122898E+06  -0.414529E-02  -0.422716E-02   0.307033E+03   0.122857E+06   0.123412E+06   0.122857E+06  -0.293493E-02   0.649656E+05   0.649588E+05   0.268138E-02
   0.849301E+00   0.122240E+06   0.121637E+06  -0.405057E-02  -0.413057E-02   0.300226E+03   0.121596E+06   0.122145E+06   0.121596E+06  -0.290480E-02   0.642986E+05   0.642919E+05   0.263685E-02
   0.854718E+00   0.120993E+06   0.120396E+06  -0.395860E-02  -0.403678E-02   0.293611E+03   0.120355E+06   0.120899E+06   0.120355E+06  -0.287516E-02   0.636426E+05   0.636360E+05   0.259332E-02
   0.860134E+00   0.119765E+06   0.119174E+06  -0.386925E-02  -0.394566E-02   0.287178E+03   0.119134E+06   0.119672E+06   0.119134E+06  -0.284599E-02   0.629970E+05   0.629904E+05   0.255077E-02
   0.865550E+00   0.118557E+06   0.117972E+06  -0.378242E-02  -0.385712E-02   0.280920E+03   0.117932E+06   0.118465E+06   0.117932E+06  -0.281727E-02   0.623613E+05   0.623548E+05   0.250916E-02
   0.870966E+00   0.117367E+06   0.116788E+06  -0.369804E-02  -0.377107E-02   0.274834E+03   0.116749E+06   0.117276E+06   0.116749E+06  -0.278900E-02   0.617355E+05   0.617290E+05   0.246848E-02
   0.876383E+00   0.116196E+06   0.115623E+06  -0.361604E-02  -0.368746E-02   0.268914E+03   0.115584E+06   0.116106E+06   0.115584E+06  -0.276119E-02   0.611198E+05   0.611134E+05   0.242870E-02
   0.881799E+00   0.115045E+06   0.114477E+06  -0.353636E-02  -0.360620E-02   0.263156E+03   0.114439E+06   0.114956E+06   0.114439E+06  -0.273382E-02   0.605140E+05   0.605076E+05   0.238980E-02
   0.955361E+00   0.101020E+06   0.100522E+06  -0.264549E-02  -0.269773E-02   0.198421E+03   0.100488E+06   0.100942E+06   0.100488E+06  -0.240055E-02   0.531370E+05   0.531315E+05   0.193631E-02
   0.103506E+01   0.886435E+05   0.882063E+05  -0.197766E-02  -0.201671E-02   0.149391E+03   0.881763E+05   0.885749E+05   0.881763E+05  -0.210644E-02   0.466268E+05   0.466219E+05   0.156775E-02
   0.112141E+01   0.777288E+05   0.773455E+05  -0.147738E-02  -0.150656E-02   0.112318E+03   0.773191E+05   0.776686E+05   0.773191E+05  -0.184707E-02   0.408856E+05   0.408814E+05   0.126842E-02
   0.121496E+01   0.681129E+05   0.677770E+05  -0.110292E-02  -0.112471E-02   0.843347E+02   0.677538E+05   0.680602E+05   0.677538E+05  -0.161857E-02   0.358276E+05   0.358239E+05   0.102555E-02
   0.131631E+01   0.596493E+05   0.593552E+05  -0.822864E-03  -0.839115E-03   0.632453E+02   0.593348E+05   0.596031E+05   0.593348E+05  -0.141745E-02   0.313757E+05   0.313725E+05   0.828631E-03
   0.142612E+01   0.522048E+05   0.519474E+05  -0.613534E-03  -0.625651E-03   0.473740E+02   0.519295E+05   0.521644E+05   0.519295E+05  -0.124054E-02   0.274599E+05   0.274570E+05   0.669079E-03
   0.154509E+01   0.456627E+05   0.454376E+05  -0.457189E-03  -0.466218E-03   0.354469E+02   0.454219E+05   0.456274E+05   0.454219E+05  -0.108508E-02   0.240187E+05   0.240162E+05   0.539906E-03
   0.167399E+01   0.399176E+05   0.397208E+05  -0.340489E-03  -0.347213E-03   0.264951E+02   0.397070E+05   0.398867E+05   0.397070E+05  -0.948558E-03   0.209967E+05   0.209946E+05   0.435396E-03
   0.181364E+01   0.348760E+05   0.347041E+05  -0.253437E-03  -0.258442E-03   0.197848E+02   0.346920E+05   0.348490E+05   0.346920E+05  -0.828755E-03   0.183448E+05   0.183429E+05   0.350897E-03
   0.196494E+01   0.304550E+05   0.303049E+05  -0.188542E-03  -0.192265E-03   0.147606E+02   0.302943E+05   0.304314E+05   0.302943E+05  -0.723700E-03   0.160194E+05   0.160177E+05   0.282622E-03
   0.212885E+01   0.265808E+05   0.264498E+05  -0.140192E-03  -0.142960E-03   0.110028E+02   0.264406E+05   0.265602E+05   0.264406E+05  -0.631637E-03   0.139816E+05   0.139801E+05   0.227492E-03
   0.230645E+01   0.231880E+05   0.230737E+05  -0.104189E-03  -0.106247E-03   0.819519E+01   0.230657E+05   0.231701E+05   0.230657E+05  -0.551014E-03   0.121969E+05   0.121957E+05   0.183002E-03
   0.249886E+01   0.202185E+05   0.201189E+05  -0.773950E-04  -0.789234E-04   0.609936E+01   0.201118E+05   0.202029E+05   0.201118E+05  -0.480450E-03   0.106350E+05   0.106339E+05   0.147122E-03
   0.270732E+01   0.176212E+05   0.175344E+05  -0.574652E-04  -0.586001E-04   0.453637E+01   0.175283E+05   0.176076E+05   0.175283E+05  -0.418732E-03   0.926882E+04   0.926786E+04   0.118201E-03
   0.293317E+01   0.153507E+05   0.152751E+05  -0.426483E-04  -0.434906E-04   0.337163E+01   0.152697E+05   0.153388E+05   0.152697E+05  -0.364778E-03   0.807452E+04   0.807369E+04   0.949038E-04
