#    L    TT             EE             TE             PP             TP          
    75   0.198583E+04   0.395163E+00  -0.806983E+01   0.537006E+07   0.854236E+04
    76   0.201159E+04   0.409360E+00  -0.857889E+01   0.534097E+07   0.842368E+04
    77   0.203753E+04   0.423727E+00  -0.909837E+01   0.531178E+07   0.830780E+04
    78   0.206364E+04   0.438252E+00  -0.962780E+01   0.528250E+07   0.819430E+04
    79   0.208997E+04   0.452922E+00  -0.101670E+02   0.525317E+07   0.808280E+04
    80   0.211653E+04   0.467726E+00  -0.107160E+02   0.522380E+07   0.797288E+04
    81   0.214334E+04   0.482654E+00  -0.112746E+02   0.519442E+07   0.786424E+04
    82   0.217042E+04   0.497695E+00  -0.118423E+02   0.516503E+07   0.775700E+04
    83   0.219775E+04   0.512838E+00  -0.124188E+02   0.513565E+07   0.765140E+04
    84   0.222533E+04   0.528072E+00  -0.130037E+02   0.510630E+07   0.754765E+04
    85   0.225314E+04   0.543385E+00  -0.135967E+02   0.507698E+07   0.744599E+04
    86   0.228119E+04   0.558768E+00  -0.141972E+02   0.504772E+07   0.734659E+04
    87   0.230944E+04   0.574207E+00  -0.148047E+02   0.501853E+07   0.724948E+04
    88   0.233788E+04   0.589691E+00  -0.154188E+02   0.498940E+07   0.715463E+04
    89   0.236651E+04   0.605206E+00  -0.160390E+02   0.496035E+07   0.706201E+04
    90   0.239534E+04   0.620734E+00  -0.166649E+02   0.493139E+07   0.697162E+04
    91   0.242437E+04   0.636262E+00  -0.172962E+02   0.490251E+07   0.688340E+04
    92   0.245362E+04   0.651776E+00  -0.179325E+02   0.487374E+07   0.679731E+04
    93   0.248308E+04   0.667261E+00  -0.185734E+02   0.484507E+07   0.671326E+04
    94   0.251276E+04   0.682704E+00  -0.192186E+02   0.481650E+07   0.663119E+04
    95   0.254267E+04   0.698090E+00  -0.198676E+02   0.478804E+07   0.655102E+04
    96   0.257280E+04   0.713405E+00  -0.205200E+02   0.475969E+07   0.647269E+04
    97   0.260316E+04   0.728634E+00  -0.211754E+02   0.473146E+07   0.639611E+04
    98   0.263375E+04   0.743763E+00  -0.218333E+02   0.470335E+07   0.632122E+04
    99   0.266454E+04   0.758776E+00  -0.224932E+02   0.467536E+07   0.624794E+04
   100   0.269556E+04   0.773664E+00  -0.231546E+02   0.464749E+07   0.617621E+04
   101   0.272680E+04   0.788409E+00  -0.238170E+02   0.461976E+07   0.610594E+04
   102   0.275826E+04   0.802992E+00  -0.244801E+02   0.459216E+07   0.603707E+04
   103   0.278992E+04   0.817412E+00  -0.251431E+02   0.456470E+07   0.596953E+04
   104   0.282178E+04   0.831639E+00  -0.258055E+02   0.453737E+07   0.590324E+04
   105   0.285384E+04   0.845666E+00  -0.264670E+02   0.451019E+07   0.583813E+04
   106   0.288609E+04   0.859479E+00  -0.271267E+02   0.448316E+07   0.577413E+04
   107   0.291853E+04   0.873070E+00  -0.277842E+02   0.445629E+07   0.571117E+04
   108   0.295113E+04   0.886417E+00  -0.284390E+02   0.442956E+07   0.564917E+04
   109   0.298390E+04   0.899513E+00  -0.290904E+02   0.440300E+07   0.558807E+04
   110   0.301684E+04   0.912337E+00  -0.297380E+02   0.437660E+07   0.552778E+04
   111   0.304993E+04   0.924880E+00  -0.303812E+02   0.435036E+07   0.546826E+04
   112   0.308317E+04   0.937135E+00  -0.310193E+02   0.432430E+07   0.540948E+04
   113   0.311656E+04   0.949080E+00  -0.316519E+02   0.429839E+07   0.535147E+04
   114   0.315008E+04   0.960700E+00  -0.322783E+02   0.427266E+07   0.529421E+04
   115   0.318374E+04   0.971994E+00  -0.328981E+02   0.424709E+07   0.523772E+04
   116   0.321752E+04   0.982947E+00  -0.335106E+02   0.422170E+07   0.518199E+04
   117   0.325142E+04   0.993537E+00  -0.341152E+02   0.419647E+07   0.512704E+04
   118   0.328543E+04   0.100376E+01  -0.347114E+02   0.417141E+07   0.507286E+04
   119   0.331954E+04   0.101361E+01  -0.352987E+02   0.414652E+07   0.501947E+04
   120   0.335375E+04   0.102307E+01  -0.358765E+02   0.412180E+07   0.496686E+04
   121   0.338804E+04   0.103213E+01  -0.364442E+02   0.409725E+07   0.491504E+04
   122   0.342241E+04   0.104079E+01  -0.370013E+02   0.407287E+07   0.486402E+04
   123   0.345685E+04   0.104902E+01  -0.375472E+02   0.404867E+07   0.481379E+04
   124   0.349135E+04   0.105683E+01  -0.380814E+02   0.402463E+07   0.476436E+04
   125   0.352590E+04   0.106420E+01  -0.386033E+02   0.400077E+07   0.471574E+04
   126   0.356050E+04   0.107113E+01  -0.391124E+02   0.397708E+07   0.466794E+04
   127   0.359513E+04   0.107760E+01  -0.396082E+02   0.395356E+07   0.462094E+04
   128   0.362978E+04   0.108362E+01  -0.400901E+02   0.393022E+07   0.457476E+04
   129   0.366446E+04   0.108918E+01  -0.405576E+02   0.390705E+07   0.452941E+04
   130   0.369914E+04   0.109425E+01  -0.410102E+02   0.388406E+07   0.448488E+04
   131   0.373381E+04   0.109885E+01  -0.414473E+02   0.386124E+07   0.444118E+04
   132   0.376849E+04   0.110298E+01  -0.418685E+02   0.383859E+07   0.439829E+04
   133   0.380314E+04   0.110661E+01  -0.422734E+02   0.381612E+07   0.435617E+04
   134   0.383777E+04   0.110976E+01  -0.426612E+02   0.379381E+07   0.431481E+04
   135   0.387237E+04   0.111241E+01  -0.430319E+02   0.377168E+07   0.427418E+04
   136   0.390694E+04   0.111458E+01  -0.433846E+02   0.374972E+07   0.423425E+04
   137   0.394145E+04   0.111624E+01  -0.437190E+02   0.372793E+07   0.419501E+04
   138   0.397591E+04   0.111741E+01  -0.440346E+02   0.370631E+07   0.415642E+04
   139   0.401031E+04   0.111809E+01  -0.443312E+02   0.368485E+07   0.411845E+04
   140   0.404464E+04   0.111827E+01  -0.446082E+02   0.366356E+07   0.408109E+04
   141   0.407889E+04   0.111796E+01  -0.448652E+02   0.364243E+07   0.404431E+04
   142   0.411304E+04   0.111715E+01  -0.451019E+02   0.362147E+07   0.400808E+04
   143   0.414712E+04   0.111586E+01  -0.453178E+02   0.360067E+07   0.397238E+04
   144   0.418108E+04   0.111408E+01  -0.455125E+02   0.358003E+07   0.393718E+04
   145   0.421493E+04   0.111181E+01  -0.456856E+02   0.355955E+07   0.390245E+04
   146   0.424864E+04   0.110907E+01  -0.458368E+02   0.353923E+07   0.386818E+04
   147   0.428221E+04   0.110586E+01  -0.459655E+02   0.351907E+07   0.383433E+04
   148   0.431562E+04   0.110218E+01  -0.460715E+02   0.349907E+07   0.380089E+04
   149   0.434886E+04   0.109804E+01  -0.461543E+02   0.347923E+07   0.376782E+04
   150   0.438191E+04   0.109345E+01  -0.462135E+02   0.345954E+07   0.373510E+04
   151   0.441475E+04   0.108842E+01  -0.462488E+02   0.344001E+07   0.370271E+04
   152   0.444739E+04   0.108294E+01  -0.462599E+02   0.342063E+07   0.367065E+04
   153   0.447982E+04   0.107705E+01  -0.462465E+02   0.340140E+07   0.363890E+04
   154   0.451202E+04   0.107075E+01  -0.462084E+02   0.338232E+07   0.360748E+04
   155   0.454400E+04   0.106404E+01  -0.461452E+02   0.336340E+07   0.357637E+04
   156   0.457577E+04   0.105694E+01  -0.460569E+02   0.334463E+07   0.354558E+04
   157   0.460729E+04   0.104946E+01  -0.459431E+02   0.332600E+07   0.351511E+04
   158   0.463857E+04   0.104163E+01  -0.458036E+02   0.330753E+07   0.348495E+04
   159   0.466961E+04   0.103343E+01  -0.456381E+02   0.328920E+07   0.345510E+04
   160   0.470039E+04   0.102491E+01  -0.454465E+02   0.327101E+07   0.342556E+04
   161   0.473089E+04   0.101606E+01  -0.452285E+02   0.325298E+07   0.339634E+04
   162   0.476110E+04   0.100691E+01  -0.449840E+02   0.323509E+07   0.336741E+04
   163   0.479101E+04   0.997490E+00  -0.447126E+02   0.321734E+07   0.333880E+04
   164   0.482061E+04   0.987792E+00  -0.444144E+02   0.319973E+07   0.331049E+04
   165   0.484989E+04   0.977842E+00  -0.440890E+02   0.318227E+07   0.328248E+04
   166   0.487883E+04   0.967661E+00  -0.437363E+02   0.316495E+07   0.325477E+04
   167   0.490743E+04   0.957273E+00  -0.433562E+02   0.314777E+07   0.322736E+04
   168   0.493568E+04   0.946699E+00  -0.429488E+02   0.313073E+07   0.320025E+04
   169   0.496357E+04   0.935962E+00  -0.425139E+02   0.311382E+07   0.317344E+04
   170   0.499109E+04   0.925076E+00  -0.420515E+02   0.309706E+07   0.314692E+04
   171   0.501823E+04   0.914072E+00  -0.415613E+02   0.308043E+07   0.312069E+04
   172   0.504500E+04   0.902970E+00  -0.410436E+02   0.306394E+07   0.309476E+04
   173   0.507137E+04   0.891794E+00  -0.404980E+02   0.304758E+07   0.306911E+04
   174   0.509734E+04   0.880566E+00  -0.399248E+02   0.303135E+07   0.304375E+04
   175   0.512290E+04   0.869322E+00  -0.393239E+02   0.301526E+07   0.301868E+04
   176   0.514804E+04   0.858078E+00  -0.386954E+02   0.299930E+07   0.299389E+04
   177   0.517275E+04   0.846871E+00  -0.380391E+02   0.298347E+07   0.296938E+04
   178   0.519701E+04   0.835723E+00  -0.373553E+02   0.296777E+07   0.294515E+04
   179   0.522084E+04   0.824656E+00  -0.366439E+02   0.295220E+07   0.292118E+04
   180   0.524422E+04   0.813708E+00  -0.359050E+02   0.293676E+07   0.289747E+04
   181   0.526713E+04   0.802908E+00  -0.351389E+02   0.292144E+07   0.287402E+04
   182   0.528958E+04   0.792286E+00  -0.343455E+02   0.290625E+07   0.285082E+04
   183   0.531155E+04   0.781864E+00  -0.335250E+02   0.289118E+07   0.282787E+04
   184   0.533304E+04   0.771680E+00  -0.326778E+02   0.287623E+07   0.280515E+04
   185   0.535405E+04   0.761770E+00  -0.318035E+02   0.286141E+07   0.278267E+04
   186   0.537456E+04   0.752157E+00  -0.309028E+02   0.284670E+07   0.276042E+04
   187   0.539457E+04   0.742872E+00  -0.299756E+02   0.283212E+07   0.273838E+04
   188   0.541407E+04   0.733954E+00  -0.290222E+02   0.281765E+07   0.271656E+04
   189   0.543305E+04   0.725435E+00  -0.280428E+02   0.280329E+07   0.269496E+04
   190   0.545151E+04   0.717349E+00  -0.270378E+02   0.278906E+07   0.267355E+04
   191   0.546944E+04   0.709727E+00  -0.260072E+02   0.277493E+07   0.265235E+04
   192   0.548683E+04   0.702606E+00  -0.249514E+02   0.276092E+07   0.263134E+04
   193   0.550367E+04   0.696018E+00  -0.238705E+02   0.274702E+07   0.261051E+04
   194   0.551997E+04   0.689999E+00  -0.227651E+02   0.273323E+07   0.258987E+04
   195   0.553571E+04   0.684584E+00  -0.216352E+02   0.271955E+07   0.256940E+04
   196   0.555090E+04   0.679810E+00  -0.204815E+02   0.270598E+07   0.254910E+04
   197   0.556553E+04   0.675713E+00  -0.193041E+02   0.269251E+07   0.252897E+04
   198   0.557961E+04   0.672330E+00  -0.181035E+02   0.267915E+07   0.250900E+04
   199   0.559310E+04   0.669695E+00  -0.168800E+02   0.266590E+07   0.248917E+04
   200   0.560604E+04   0.667845E+00  -0.156341E+02   0.265274E+07   0.246950E+04
   201   0.561840E+04   0.666817E+00  -0.143659E+02   0.263969E+07   0.244997E+04
   202   0.563018E+04   0.666648E+00  -0.130762E+02   0.262674E+07   0.243057E+04
   203   0.564135E+04   0.667373E+00  -0.117650E+02   0.261389E+07   0.241132E+04
   204   0.565192E+04   0.669030E+00  -0.104331E+02   0.260114E+07   0.239221E+04
   205   0.566186E+04   0.671656E+00  -0.908068E+01   0.258849E+07   0.237323E+04
   206   0.567118E+04   0.675286E+00  -0.770825E+01   0.257593E+07   0.235439E+04
   207   0.567987E+04   0.679959E+00  -0.631617E+01   0.256347E+07   0.233569E+04
   208   0.568791E+04   0.685710E+00  -0.490502E+01   0.255111E+07   0.231712E+04
   209   0.569533E+04   0.692576E+00  -0.347534E+01   0.253885E+07   0.229869E+04
   210   0.570213E+04   0.700594E+00  -0.202770E+01   0.252668E+07   0.228039E+04
   211   0.570830E+04   0.709801E+00  -0.562630E+00   0.251460E+07   0.226222E+04
   212   0.571387E+04   0.720232E+00   0.919295E+00   0.250261E+07   0.224419E+04
   213   0.571883E+04   0.731925E+00   0.241753E+01   0.249072E+07   0.222628E+04
   214   0.572319E+04   0.744918E+00   0.393151E+01   0.247892E+07   0.220851E+04
   215   0.572696E+04   0.759240E+00   0.546066E+01   0.246720E+07   0.219087E+04
   216   0.573010E+04   0.774936E+00   0.700437E+01   0.245558E+07   0.217335E+04
   217   0.573263E+04   0.792036E+00   0.856204E+01   0.244405E+07   0.215596E+04
   218   0.573455E+04   0.810570E+00   0.101332E+02   0.243260E+07   0.213870E+04
   219   0.573584E+04   0.830582E+00   0.117170E+02   0.242125E+07   0.212157E+04
   220   0.573651E+04   0.852101E+00   0.133132E+02   0.240997E+07   0.210456E+04
   221   0.573655E+04   0.875159E+00   0.149208E+02   0.239879E+07   0.208768E+04
   222   0.573595E+04   0.899799E+00   0.165395E+02   0.238769E+07   0.207092E+04
   223   0.573473E+04   0.926043E+00   0.181684E+02   0.237667E+07   0.205428E+04
   224   0.573288E+04   0.953929E+00   0.198071E+02   0.236573E+07   0.203776E+04
   225   0.573041E+04   0.983479E+00   0.214546E+02   0.235488E+07   0.202137E+04
   226   0.572730E+04   0.101474E+01   0.231106E+02   0.234411E+07   0.200509E+04
   227   0.572358E+04   0.104773E+01   0.247741E+02   0.233342E+07   0.198894E+04
   228   0.571923E+04   0.108249E+01   0.264447E+02   0.232281E+07   0.197290E+04
   229   0.571426E+04   0.111905E+01   0.281216E+02   0.231228E+07   0.195699E+04
   230   0.570868E+04   0.115743E+01   0.298041E+02   0.230183E+07   0.194118E+04
   231   0.570247E+04   0.119765E+01   0.314915E+02   0.229145E+07   0.192550E+04
   232   0.569566E+04   0.123976E+01   0.331831E+02   0.228115E+07   0.190993E+04
   233   0.568823E+04   0.128377E+01   0.348782E+02   0.227093E+07   0.189447E+04
   234   0.568019E+04   0.132971E+01   0.365761E+02   0.226078E+07   0.187913E+04
   235   0.567154E+04   0.137762E+01   0.382761E+02   0.225071E+07   0.186390E+04
   236   0.566228E+04   0.142751E+01   0.399774E+02   0.224071E+07   0.184878E+04
   237   0.565242E+04   0.147941E+01   0.416793E+02   0.223078E+07   0.183378E+04
   238   0.564196E+04   0.153333E+01   0.433812E+02   0.222092E+07   0.181888E+04
   239   0.563091E+04   0.158930E+01   0.450822E+02   0.221113E+07   0.180409E+04
   240   0.561926E+04   0.164734E+01   0.467815E+02   0.220142E+07   0.178942E+04
   241   0.560702E+04   0.170748E+01   0.484786E+02   0.219177E+07   0.177485E+04
   242   0.559420E+04   0.176973E+01   0.501726E+02   0.218219E+07   0.176038E+04
   243   0.558080E+04   0.183411E+01   0.518627E+02   0.217268E+07   0.174602E+04
   244   0.556682E+04   0.190064E+01   0.535483E+02   0.216324E+07   0.173177E+04
   245   0.555227E+04   0.196933E+01   0.552287E+02   0.215386E+07   0.171762E+04
   246   0.553717E+04   0.204020E+01   0.569031E+02   0.214455E+07   0.170358E+04
   247   0.552150E+04   0.211326E+01   0.585708E+02   0.213530E+07   0.168964E+04
   248   0.550529E+04   0.218854E+01   0.602310E+02   0.212612E+07   0.167580E+04
   249   0.548852E+04   0.226603E+01   0.618832E+02   0.211700E+07   0.166206E+04
   250   0.547123E+04   0.234576E+01   0.635264E+02   0.210794E+07   0.164842E+04
   251   0.545339E+04   0.242773E+01   0.651598E+02   0.209894E+07   0.163488E+04
   252   0.543501E+04   0.251194E+01   0.667827E+02   0.209000E+07   0.162144E+04
   253   0.541610E+04   0.259840E+01   0.683944E+02   0.208112E+07   0.160810E+04
   254   0.539666E+04   0.268713E+01   0.699939E+02   0.207231E+07   0.159485E+04
   255   0.537669E+04   0.277812E+01   0.715805E+02   0.206355E+07   0.158170E+04
