#    L    TT             EE             TE             PP             TP          
  1300   0.700308E+03   0.325621E+02  -0.330651E+02   0.204478E+06   0.314750E+02
  1301   0.699658E+03   0.325598E+02  -0.339015E+02   0.204223E+06   0.316622E+02
  1302   0.699077E+03   0.325531E+02  -0.347347E+02   0.203969E+06   0.318477E+02
  1303   0.698565E+03   0.325419E+02  -0.355645E+02   0.203715E+06   0.320314E+02
  1304   0.698120E+03   0.325262E+02  -0.363905E+02   0.203462E+06   0.322134E+02
  1305   0.697744E+03   0.325060E+02  -0.372124E+02   0.203210E+06   0.323936E+02
  1306   0.697435E+03   0.324814E+02  -0.380298E+02   0.202957E+06   0.325721E+02
  1307   0.697192E+03   0.324524E+02  -0.388424E+02   0.202706E+06   0.327488E+02
  1308   0.697015E+03   0.324190E+02  -0.396498E+02   0.202455E+06   0.329237E+02
  1309   0.696904E+03   0.323811E+02  -0.404518E+02   0.202204E+06   0.330968E+02
  1310   0.696857E+03   0.323388E+02  -0.412478E+02   0.201954E+06   0.332681E+02
  1311   0.696874E+03   0.322921E+02  -0.420377E+02   0.201704E+06   0.334375E+02
  1312   0.696954E+03   0.322411E+02  -0.428211E+02   0.201455E+06   0.336051E+02
  1313   0.697097E+03   0.321856E+02  -0.435976E+02   0.201206E+06   0.337708E+02
  1314   0.697301E+03   0.321259E+02  -0.443671E+02   0.200958E+06   0.339347E+02
  1315   0.697567E+03   0.320619E+02  -0.451290E+02   0.200711E+06   0.340967E+02
  1316   0.697892E+03   0.319936E+02  -0.458831E+02   0.200463E+06   0.342568E+02
  1317   0.698277E+03   0.319213E+02  -0.466293E+02   0.200217E+06   0.344149E+02
  1318   0.698721E+03   0.318446E+02  -0.473670E+02   0.199971E+06   0.345712E+02
  1319   0.699222E+03   0.317640E+02  -0.480961E+02   0.199725E+06   0.347254E+02
  1320   0.699780E+03   0.316793E+02  -0.488163E+02   0.199480E+06   0.348778E+02
  1321   0.700395E+03   0.315906E+02  -0.495271E+02   0.199235E+06   0.350282E+02
  1322   0.701065E+03   0.314979E+02  -0.502285E+02   0.198991E+06   0.351766E+02
  1323   0.701789E+03   0.314013E+02  -0.509201E+02   0.198747E+06   0.353230E+02
  1324   0.702566E+03   0.313009E+02  -0.516016E+02   0.198504E+06   0.354673E+02
  1325   0.703395E+03   0.311965E+02  -0.522727E+02   0.198261E+06   0.356097E+02
  1326   0.704276E+03   0.310883E+02  -0.529331E+02   0.198019E+06   0.357501E+02
  1327   0.705207E+03   0.309763E+02  -0.535828E+02   0.197777E+06   0.358884E+02
  1328   0.706187E+03   0.308605E+02  -0.542212E+02   0.197535E+06   0.360246E+02
  1329   0.707214E+03   0.307411E+02  -0.548482E+02   0.197294E+06   0.361587E+02
  1330   0.708290E+03   0.306181E+02  -0.554636E+02   0.197054E+06   0.362908E+02
  1331   0.709411E+03   0.304915E+02  -0.560671E+02   0.196814E+06   0.364208E+02
  1332   0.710576E+03   0.303613E+02  -0.566585E+02   0.196574E+06   0.365486E+02
  1333   0.711785E+03   0.302276E+02  -0.572376E+02   0.196335E+06   0.366744E+02
  1334   0.713038E+03   0.300906E+02  -0.578041E+02   0.196097E+06   0.367980E+02
  1335   0.714330E+03   0.299502E+02  -0.583577E+02   0.195859E+06   0.369194E+02
  1336   0.715664E+03   0.298065E+02  -0.588984E+02   0.195621E+06   0.370387E+02
  1337   0.717037E+03   0.296595E+02  -0.594259E+02   0.195384E+06   0.371557E+02
  1338   0.718448E+03   0.295094E+02  -0.599400E+02   0.195147E+06   0.372706E+02
  1339   0.719895E+03   0.293561E+02  -0.604405E+02   0.194911E+06   0.373833E+02
  1340   0.721378E+03   0.291999E+02  -0.609272E+02   0.194675E+06   0.374938E+02
  1341   0.722895E+03   0.290405E+02  -0.613999E+02   0.194440E+06   0.376020E+02
  1342   0.724445E+03   0.288783E+02  -0.618584E+02   0.194205E+06   0.377080E+02
  1343   0.726027E+03   0.287131E+02  -0.623027E+02   0.193971E+06   0.378117E+02
  1344   0.727639E+03   0.285452E+02  -0.627324E+02   0.193737E+06   0.379132E+02
  1345   0.729281E+03   0.283744E+02  -0.631474E+02   0.193503E+06   0.380123E+02
  1346   0.730950E+03   0.282010E+02  -0.635475E+02   0.193270E+06   0.381092E+02
  1347   0.732646E+03   0.280249E+02  -0.639326E+02   0.193037E+06   0.382037E+02
  1348   0.734366E+03   0.278462E+02  -0.643025E+02   0.192805E+06   0.382959E+02
  1349   0.736111E+03   0.276651E+02  -0.646571E+02   0.192573E+06   0.383858E+02
  1350   0.737878E+03   0.274816E+02  -0.649963E+02   0.192342E+06   0.384733E+02
  1351   0.739667E+03   0.272957E+02  -0.653201E+02   0.192111E+06   0.385585E+02
  1352   0.741476E+03   0.271075E+02  -0.656283E+02   0.191881E+06   0.386413E+02
  1353   0.743306E+03   0.269172E+02  -0.659209E+02   0.191651E+06   0.387217E+02
  1354   0.745147E+03   0.267249E+02  -0.661978E+02   0.191421E+06   0.387998E+02
  1355   0.747012E+03   0.265305E+02  -0.664589E+02   0.191192E+06   0.388755E+02
  1356   0.748890E+03   0.263343E+02  -0.667042E+02   0.190964E+06   0.389489E+02
  1357   0.750784E+03   0.261363E+02  -0.669336E+02   0.190735E+06   0.390200E+02
  1358   0.752693E+03   0.259364E+02  -0.671469E+02   0.190508E+06   0.390887E+02
  1359   0.754609E+03   0.257349E+02  -0.673443E+02   0.190280E+06   0.391550E+02
  1360   0.756533E+03   0.255319E+02  -0.675255E+02   0.190053E+06   0.392191E+02
  1361   0.758464E+03   0.253273E+02  -0.676905E+02   0.189827E+06   0.392808E+02
  1362   0.760410E+03   0.251211E+02  -0.678393E+02   0.189601E+06   0.393402E+02
  1363   0.762356E+03   0.249137E+02  -0.679718E+02   0.189375E+06   0.393973E+02
  1364   0.764309E+03   0.247049E+02  -0.680880E+02   0.189150E+06   0.394520E+02
  1365   0.766270E+03   0.244950E+02  -0.681879E+02   0.188925E+06   0.395045E+02
  1366   0.768224E+03   0.242839E+02  -0.682715E+02   0.188701E+06   0.395547E+02
  1367   0.770185E+03   0.240717E+02  -0.683388E+02   0.188477E+06   0.396025E+02
  1368   0.772146E+03   0.238586E+02  -0.683897E+02   0.188253E+06   0.396481E+02
  1369   0.774099E+03   0.236446E+02  -0.684243E+02   0.188030E+06   0.396913E+02
  1370   0.776060E+03   0.234299E+02  -0.684426E+02   0.187808E+06   0.397323E+02
  1371   0.778007E+03   0.232143E+02  -0.684446E+02   0.187585E+06   0.397710E+02
  1372   0.779953E+03   0.229983E+02  -0.684304E+02   0.187364E+06   0.398075E+02
  1373   0.781892E+03   0.227816E+02  -0.684000E+02   0.187142E+06   0.398416E+02
  1374   0.783823E+03   0.225645E+02  -0.683535E+02   0.186921E+06   0.398735E+02
  1375   0.785740E+03   0.223470E+02  -0.682908E+02   0.186701E+06   0.399031E+02
  1376   0.787649E+03   0.221293E+02  -0.682120E+02   0.186480E+06   0.399305E+02
  1377   0.789551E+03   0.219113E+02  -0.681173E+02   0.186261E+06   0.399556E+02
  1378   0.791438E+03   0.216932E+02  -0.680066E+02   0.186041E+06   0.399784E+02
  1379   0.793310E+03   0.214751E+02  -0.678800E+02   0.185822E+06   0.399990E+02
  1380   0.795160E+03   0.212570E+02  -0.677374E+02   0.185604E+06   0.400174E+02
  1381   0.797003E+03   0.210389E+02  -0.675790E+02   0.185386E+06   0.400335E+02
  1382   0.798823E+03   0.208210E+02  -0.674049E+02   0.185168E+06   0.400474E+02
  1383   0.800621E+03   0.206034E+02  -0.672150E+02   0.184951E+06   0.400590E+02
  1384   0.802397E+03   0.203861E+02  -0.670095E+02   0.184734E+06   0.400685E+02
  1385   0.804158E+03   0.201692E+02  -0.667885E+02   0.184517E+06   0.400757E+02
  1386   0.805896E+03   0.199528E+02  -0.665523E+02   0.184301E+06   0.400807E+02
  1387   0.807605E+03   0.197370E+02  -0.663009E+02   0.184086E+06   0.400834E+02
  1388   0.809292E+03   0.195219E+02  -0.660346E+02   0.183870E+06   0.400840E+02
  1389   0.810949E+03   0.193075E+02  -0.657533E+02   0.183655E+06   0.400824E+02
  1390   0.812584E+03   0.190940E+02  -0.654574E+02   0.183441E+06   0.400785E+02
  1391   0.814189E+03   0.188814E+02  -0.651470E+02   0.183227E+06   0.400725E+02
  1392   0.815764E+03   0.186698E+02  -0.648221E+02   0.183013E+06   0.400643E+02
  1393   0.817317E+03   0.184593E+02  -0.644830E+02   0.182800E+06   0.400538E+02
  1394   0.818833E+03   0.182499E+02  -0.641296E+02   0.182587E+06   0.400412E+02
  1395   0.820312E+03   0.180417E+02  -0.637623E+02   0.182374E+06   0.400265E+02
  1396   0.821761E+03   0.178348E+02  -0.633810E+02   0.182162E+06   0.400095E+02
  1397   0.823181E+03   0.176292E+02  -0.629861E+02   0.181950E+06   0.399904E+02
  1398   0.824556E+03   0.174251E+02  -0.625774E+02   0.181739E+06   0.399691E+02
  1399   0.825901E+03   0.172224E+02  -0.621555E+02   0.181528E+06   0.399456E+02
  1400   0.827201E+03   0.170213E+02  -0.617204E+02   0.181317E+06   0.399200E+02
  1401   0.828472E+03   0.168218E+02  -0.612724E+02   0.181107E+06   0.398922E+02
  1402   0.829699E+03   0.166241E+02  -0.608116E+02   0.180897E+06   0.398623E+02
  1403   0.830888E+03   0.164280E+02  -0.603382E+02   0.180688E+06   0.398303E+02
  1404   0.832040E+03   0.162338E+02  -0.598526E+02   0.180479E+06   0.397962E+02
  1405   0.833148E+03   0.160415E+02  -0.593547E+02   0.180270E+06   0.397599E+02
  1406   0.834211E+03   0.158513E+02  -0.588449E+02   0.180062E+06   0.397216E+02
  1407   0.835229E+03   0.156629E+02  -0.583234E+02   0.179854E+06   0.396811E+02
  1408   0.836211E+03   0.154767E+02  -0.577903E+02   0.179646E+06   0.396386E+02
  1409   0.837140E+03   0.152926E+02  -0.572459E+02   0.179439E+06   0.395941E+02
  1410   0.838033E+03   0.151107E+02  -0.566904E+02   0.179233E+06   0.395475E+02
  1411   0.838873E+03   0.149311E+02  -0.561241E+02   0.179026E+06   0.394989E+02
  1412   0.839669E+03   0.147538E+02  -0.555471E+02   0.178820E+06   0.394483E+02
  1413   0.840412E+03   0.145789E+02  -0.549597E+02   0.178614E+06   0.393956E+02
  1414   0.841112E+03   0.144064E+02  -0.543624E+02   0.178409E+06   0.393410E+02
  1415   0.841759E+03   0.142364E+02  -0.537551E+02   0.178204E+06   0.392844E+02
  1416   0.842361E+03   0.140690E+02  -0.531383E+02   0.178000E+06   0.392258E+02
  1417   0.842912E+03   0.139042E+02  -0.525123E+02   0.177795E+06   0.391653E+02
  1418   0.843418E+03   0.137421E+02  -0.518773E+02   0.177592E+06   0.391028E+02
  1419   0.843872E+03   0.135827E+02  -0.512335E+02   0.177388E+06   0.390384E+02
  1420   0.844274E+03   0.134260E+02  -0.505813E+02   0.177185E+06   0.389721E+02
  1421   0.844625E+03   0.132722E+02  -0.499209E+02   0.176982E+06   0.389039E+02
  1422   0.844923E+03   0.131213E+02  -0.492525E+02   0.176780E+06   0.388337E+02
  1423   0.845176E+03   0.129732E+02  -0.485764E+02   0.176578E+06   0.387617E+02
  1424   0.845371E+03   0.128281E+02  -0.478928E+02   0.176376E+06   0.386879E+02
  1425   0.845513E+03   0.126860E+02  -0.472021E+02   0.176175E+06   0.386122E+02
  1426   0.845603E+03   0.125470E+02  -0.465045E+02   0.175974E+06   0.385346E+02
  1427   0.845634E+03   0.124110E+02  -0.458003E+02   0.175774E+06   0.384552E+02
  1428   0.845612E+03   0.122781E+02  -0.450896E+02   0.175574E+06   0.383740E+02
  1429   0.845539E+03   0.121483E+02  -0.443730E+02   0.175374E+06   0.382910E+02
  1430   0.845414E+03   0.120217E+02  -0.436506E+02   0.175174E+06   0.382062E+02
  1431   0.845230E+03   0.118984E+02  -0.429227E+02   0.174975E+06   0.381196E+02
  1432   0.844993E+03   0.117784E+02  -0.421895E+02   0.174776E+06   0.380313E+02
  1433   0.844697E+03   0.116616E+02  -0.414514E+02   0.174578E+06   0.379412E+02
  1434   0.844349E+03   0.115481E+02  -0.407086E+02   0.174380E+06   0.378493E+02
  1435   0.843941E+03   0.114380E+02  -0.399615E+02   0.174182E+06   0.377557E+02
  1436   0.843482E+03   0.113313E+02  -0.392104E+02   0.173985E+06   0.376604E+02
  1437   0.842963E+03   0.112279E+02  -0.384555E+02   0.173788E+06   0.375634E+02
  1438   0.842385E+03   0.111280E+02  -0.376970E+02   0.173591E+06   0.374647E+02
  1439   0.841755E+03   0.110316E+02  -0.369354E+02   0.173395E+06   0.373643E+02
  1440   0.841072E+03   0.109385E+02  -0.361708E+02   0.173199E+06   0.372623E+02
  1441   0.840331E+03   0.108490E+02  -0.354036E+02   0.173004E+06   0.371586E+02
  1442   0.839530E+03   0.107630E+02  -0.346341E+02   0.172808E+06   0.370532E+02
  1443   0.838669E+03   0.106805E+02  -0.338624E+02   0.172613E+06   0.369463E+02
  1444   0.837757E+03   0.106015E+02  -0.330890E+02   0.172419E+06   0.368377E+02
  1445   0.836785E+03   0.105261E+02  -0.323141E+02   0.172225E+06   0.367275E+02
  1446   0.835753E+03   0.104543E+02  -0.315379E+02   0.172031E+06   0.366157E+02
  1447   0.834670E+03   0.103860E+02  -0.307609E+02   0.171837E+06   0.365023E+02
  1448   0.833527E+03   0.103213E+02  -0.299831E+02   0.171644E+06   0.363874E+02
  1449   0.832325E+03   0.102602E+02  -0.292051E+02   0.171451E+06   0.362709E+02
  1450   0.831071E+03   0.102027E+02  -0.284270E+02   0.171259E+06   0.361528E+02
  1451   0.829764E+03   0.101489E+02  -0.276492E+02   0.171067E+06   0.360332E+02
  1452   0.828399E+03   0.100986E+02  -0.268720E+02   0.170875E+06   0.359122E+02
  1453   0.826974E+03   0.100519E+02  -0.260957E+02   0.170683E+06   0.357896E+02
  1454   0.825497E+03   0.100089E+02  -0.253205E+02   0.170492E+06   0.356655E+02
  1455   0.823968E+03   0.996945E+01  -0.245468E+02   0.170301E+06   0.355400E+02
  1456   0.822387E+03   0.993364E+01  -0.237747E+02   0.170111E+06   0.354131E+02
  1457   0.820754E+03   0.990147E+01  -0.230045E+02   0.169921E+06   0.352848E+02
  1458   0.819061E+03   0.987279E+01  -0.222366E+02   0.169731E+06   0.351551E+02
  1459   0.817317E+03   0.984775E+01  -0.214712E+02   0.169541E+06   0.350240E+02
  1460   0.815520E+03   0.982635E+01  -0.207086E+02   0.169352E+06   0.348915E+02
  1461   0.813671E+03   0.980844E+01  -0.199489E+02   0.169163E+06   0.347577E+02
  1462   0.811771E+03   0.979410E+01  -0.191926E+02   0.168975E+06   0.346226E+02
  1463   0.809818E+03   0.978332E+01  -0.184398E+02   0.168787E+06   0.344863E+02
  1464   0.807814E+03   0.977604E+01  -0.176908E+02   0.168599E+06   0.343486E+02
  1465   0.805757E+03   0.977232E+01  -0.169458E+02   0.168411E+06   0.342097E+02
  1466   0.803656E+03   0.977209E+01  -0.162053E+02   0.168224E+06   0.340696E+02
  1467   0.801503E+03   0.977528E+01  -0.154693E+02   0.168037E+06   0.339282E+02
  1468   0.799306E+03   0.978203E+01  -0.147382E+02   0.167851E+06   0.337857E+02
  1469   0.797056E+03   0.979213E+01  -0.140122E+02   0.167664E+06   0.336420E+02
  1470   0.794754E+03   0.980572E+01  -0.132914E+02   0.167478E+06   0.334972E+02
  1471   0.792415E+03   0.982266E+01  -0.125764E+02   0.167293E+06   0.333512E+02
  1472   0.790024E+03   0.984301E+01  -0.118671E+02   0.167108E+06   0.332041E+02
  1473   0.787582E+03   0.986663E+01  -0.111639E+02   0.166923E+06   0.330559E+02
  1474   0.785102E+03   0.989366E+01  -0.104670E+02   0.166738E+06   0.329067E+02
  1475   0.782569E+03   0.992390E+01  -0.977666E+01   0.166554E+06   0.327564E+02
  1476   0.780000E+03   0.995747E+01  -0.909305E+01   0.166370E+06   0.326051E+02
  1477   0.777387E+03   0.999424E+01  -0.841649E+01   0.166186E+06   0.324528E+02
  1478   0.774728E+03   0.100341E+02  -0.774713E+01   0.166003E+06   0.322995E+02
  1479   0.772033E+03   0.100773E+02  -0.708518E+01   0.165820E+06   0.321452E+02
  1480   0.769293E+03   0.101235E+02  -0.643089E+01   0.165637E+06   0.319899E+02
  1481   0.766515E+03   0.101729E+02  -0.578448E+01   0.165455E+06   0.318338E+02
  1482   0.763694E+03   0.102253E+02  -0.514615E+01   0.165273E+06   0.316767E+02
  1483   0.760835E+03   0.102807E+02  -0.451607E+01   0.165091E+06   0.315188E+02
  1484   0.757946E+03   0.103391E+02  -0.389445E+01   0.164909E+06   0.313599E+02
  1485   0.755013E+03   0.104004E+02  -0.328150E+01   0.164728E+06   0.312003E+02
  1486   0.752049E+03   0.104646E+02  -0.267738E+01   0.164547E+06   0.310398E+02
  1487   0.749042E+03   0.105317E+02  -0.208231E+01   0.164367E+06   0.308785E+02
  1488   0.746004E+03   0.106016E+02  -0.149646E+01   0.164187E+06   0.307164E+02
  1489   0.742937E+03   0.106743E+02  -0.920018E+00   0.164007E+06   0.305535E+02
  1490   0.739829E+03   0.107497E+02  -0.353152E+00   0.163827E+06   0.303899E+02
  1491   0.736692E+03   0.108277E+02   0.203973E+00   0.163648E+06   0.302256E+02
  1492   0.733523E+03   0.109084E+02   0.751188E+00   0.163469E+06   0.300605E+02
  1493   0.730323E+03   0.109917E+02   0.128832E+01   0.163290E+06   0.298948E+02
  1494   0.727094E+03   0.110774E+02   0.181519E+01   0.163112E+06   0.297284E+02
  1495   0.723835E+03   0.111657E+02   0.233166E+01   0.162934E+06   0.295614E+02
  1496   0.720548E+03   0.112564E+02   0.283757E+01   0.162756E+06   0.293937E+02
  1497   0.717234E+03   0.113494E+02   0.333281E+01   0.162579E+06   0.292255E+02
  1498   0.713893E+03   0.114448E+02   0.381723E+01   0.162402E+06   0.290566E+02
  1499   0.710527E+03   0.115424E+02   0.429071E+01   0.162225E+06   0.288872E+02
  1500   0.707137E+03   0.116423E+02   0.475313E+01   0.162048E+06   0.287172E+02
  1501   0.703723E+03   0.117443E+02   0.520433E+01   0.161872E+06   0.285467E+02
  1502   0.700287E+03   0.118484E+02   0.564422E+01   0.161696E+06   0.283757E+02
  1503   0.696829E+03   0.119546E+02   0.607266E+01   0.161520E+06   0.282042E+02
  1504   0.693350E+03   0.120627E+02   0.648957E+01   0.161345E+06   0.280323E+02
  1505   0.689851E+03   0.121728E+02   0.689485E+01   0.161170E+06   0.278598E+02
  1506   0.686334E+03   0.122847E+02   0.728838E+01   0.160995E+06   0.276870E+02
  1507   0.682798E+03   0.123985E+02   0.767007E+01   0.160821E+06   0.275137E+02
  1508   0.679244E+03   0.125140E+02   0.803979E+01   0.160647E+06   0.273400E+02
  1509   0.675675E+03   0.126312E+02   0.839756E+01   0.160473E+06   0.271660E+02
  1510   0.672089E+03   0.127500E+02   0.874314E+01   0.160299E+06   0.269915E+02
  1511   0.668489E+03   0.128704E+02   0.907662E+01   0.160126E+06   0.268167E+02
  1512   0.664877E+03   0.129923E+02   0.939792E+01   0.159953E+06   0.266416E+02
  1513   0.661252E+03   0.131157E+02   0.970703E+01   0.159780E+06   0.264662E+02
  1514   0.657617E+03   0.132404E+02   0.100038E+02   0.159608E+06   0.262905E+02
  1515   0.653973E+03   0.133665E+02   0.102883E+02   0.159436E+06   0.261145E+02
  1516   0.650320E+03   0.134938E+02   0.105605E+02   0.159264E+06   0.259382E+02
  1517   0.646659E+03   0.136224E+02   0.108202E+02   0.159092E+06   0.257617E+02
  1518   0.642993E+03   0.137520E+02   0.110675E+02   0.158921E+06   0.255850E+02
  1519   0.639321E+03   0.138828E+02   0.113024E+02   0.158750E+06   0.254080E+02
  1520   0.635644E+03   0.140146E+02   0.115248E+02   0.158580E+06   0.252309E+02
  1521   0.631963E+03   0.141473E+02   0.117347E+02   0.158409E+06   0.250536E+02
  1522   0.628279E+03   0.142810E+02   0.119321E+02   0.158239E+06   0.248761E+02
  1523   0.624594E+03   0.144154E+02   0.121169E+02   0.158069E+06   0.246986E+02
  1524   0.620907E+03   0.145506E+02   0.122891E+02   0.157900E+06   0.245208E+02
  1525   0.617220E+03   0.146864E+02   0.124487E+02   0.157731E+06   0.243430E+02
  1526   0.613535E+03   0.148230E+02   0.125959E+02   0.157562E+06   0.241651E+02
  1527   0.609851E+03   0.149601E+02   0.127305E+02   0.157393E+06   0.239871E+02
  1528   0.606171E+03   0.150976E+02   0.128526E+02   0.157225E+06   0.238091E+02
  1529   0.602494E+03   0.152356E+02   0.129623E+02   0.157057E+06   0.236311E+02
  1530   0.598823E+03   0.153740E+02   0.130594E+02   0.156889E+06   0.234530E+02
  1531   0.595157E+03   0.155127E+02   0.131440E+02   0.156721E+06   0.232749E+02
  1532   0.591497E+03   0.156516E+02   0.132163E+02   0.156554E+06   0.230969E+02
  1533   0.587845E+03   0.157907E+02   0.132761E+02   0.156387E+06   0.229189E+02
  1534   0.584201E+03   0.159299E+02   0.133236E+02   0.156220E+06   0.227409E+02
  1535   0.580566E+03   0.160692E+02   0.133588E+02   0.156054E+06   0.225631E+02
  1536   0.576942E+03   0.162084E+02   0.133816E+02   0.155888E+06   0.223853E+02
  1537   0.573327E+03   0.163474E+02   0.133922E+02   0.155722E+06   0.222076E+02
  1538   0.569725E+03   0.164864E+02   0.133906E+02   0.155556E+06   0.220301E+02
  1539   0.566135E+03   0.166251E+02   0.133769E+02   0.155391E+06   0.218527E+02
  1540   0.562559E+03   0.167635E+02   0.133512E+02   0.155226E+06   0.216754E+02
  1541   0.558997E+03   0.169016E+02   0.133135E+02   0.155061E+06   0.214984E+02
  1542   0.555451E+03   0.170393E+02   0.132640E+02   0.154897E+06   0.213215E+02
  1543   0.551921E+03   0.171765E+02   0.132026E+02   0.154733E+06   0.211449E+02
  1544   0.548408E+03   0.173133E+02   0.131296E+02   0.154569E+06   0.209684E+02
  1545   0.544913E+03   0.174494E+02   0.130451E+02   0.154405E+06   0.207923E+02
  1546   0.541437E+03   0.175848E+02   0.129490E+02   0.154242E+06   0.206164E+02
  1547   0.537981E+03   0.177196E+02   0.128414E+02   0.154079E+06   0.204408E+02
  1548   0.534544E+03   0.178536E+02   0.127226E+02   0.153916E+06   0.202655E+02
  1549   0.531129E+03   0.179867E+02   0.125925E+02   0.153753E+06   0.200905E+02
  1550   0.527735E+03   0.181189E+02   0.124514E+02   0.153591E+06   0.199158E+02
  1551   0.524364E+03   0.182502E+02   0.122992E+02   0.153429E+06   0.197415E+02
  1552   0.521016E+03   0.183804E+02   0.121361E+02   0.153267E+06   0.195676E+02
  1553   0.517692E+03   0.185096E+02   0.119622E+02   0.153106E+06   0.193941E+02
  1554   0.514392E+03   0.186377E+02   0.117777E+02   0.152944E+06   0.192209E+02
  1555   0.511117E+03   0.187645E+02   0.115827E+02   0.152784E+06   0.190482E+02
  1556   0.507868E+03   0.188901E+02   0.113774E+02   0.152623E+06   0.188759E+02
  1557   0.504646E+03   0.190145E+02   0.111618E+02   0.152462E+06   0.187040E+02
  1558   0.501451E+03   0.191375E+02   0.109361E+02   0.152302E+06   0.185325E+02
  1559   0.498285E+03   0.192591E+02   0.107006E+02   0.152142E+06   0.183615E+02
  1560   0.495147E+03   0.193792E+02   0.104551E+02   0.151983E+06   0.181910E+02
  1561   0.492037E+03   0.194979E+02   0.102002E+02   0.151823E+06   0.180210E+02
  1562   0.488959E+03   0.196150E+02   0.993574E+01   0.151664E+06   0.178514E+02
  1563   0.485909E+03   0.197305E+02   0.966200E+01   0.151505E+06   0.176824E+02
  1564   0.482892E+03   0.198444E+02   0.937911E+01   0.151347E+06   0.175139E+02
  1565   0.479906E+03   0.199566E+02   0.908732E+01   0.151189E+06   0.173459E+02
  1566   0.476953E+03   0.200670E+02   0.878667E+01   0.151031E+06   0.171785E+02
  1567   0.474032E+03   0.201757E+02   0.847741E+01   0.150873E+06   0.170116E+02
  1568   0.471144E+03   0.202826E+02   0.815961E+01   0.150715E+06   0.168453E+02
  1569   0.468290E+03   0.203875E+02   0.783355E+01   0.150558E+06   0.166796E+02
  1570   0.465469E+03   0.204905E+02   0.749940E+01   0.150401E+06   0.165144E+02
  1571   0.462685E+03   0.205915E+02   0.715724E+01   0.150244E+06   0.163499E+02
  1572   0.459934E+03   0.206906E+02   0.680730E+01   0.150088E+06   0.161860E+02
  1573   0.457219E+03   0.207876E+02   0.644976E+01   0.149932E+06   0.160227E+02
  1574   0.454541E+03   0.208824E+02   0.608484E+01   0.149776E+06   0.158601E+02
  1575   0.451898E+03   0.209751E+02   0.571273E+01   0.149620E+06   0.156982E+02
  1576   0.449293E+03   0.210657E+02   0.533366E+01   0.149464E+06   0.155369E+02
  1577   0.446725E+03   0.211541E+02   0.494781E+01   0.149309E+06   0.153763E+02
  1578   0.444195E+03   0.212403E+02   0.455541E+01   0.149154E+06   0.152164E+02
  1579   0.441703E+03   0.213242E+02   0.415665E+01   0.149000E+06   0.150572E+02
  1580   0.439250E+03   0.214058E+02   0.375173E+01   0.148845E+06   0.148987E+02
  1581   0.436836E+03   0.214851E+02   0.334084E+01   0.148691E+06   0.147410E+02
  1582   0.434461E+03   0.215621E+02   0.292418E+01   0.148537E+06   0.145840E+02
  1583   0.432125E+03   0.216367E+02   0.250192E+01   0.148383E+06   0.144277E+02
  1584   0.429829E+03   0.217088E+02   0.207428E+01   0.148230E+06   0.142723E+02
  1585   0.427573E+03   0.217785E+02   0.164144E+01   0.148077E+06   0.141176E+02
  1586   0.425357E+03   0.218457E+02   0.120358E+01   0.147924E+06   0.139637E+02
  1587   0.423181E+03   0.219104E+02   0.760924E+00   0.147771E+06   0.138106E+02
  1588   0.421045E+03   0.219725E+02   0.313679E+00   0.147619E+06   0.136584E+02
  1589   0.418951E+03   0.220320E+02  -0.137956E+00   0.147467E+06   0.135070E+02
  1590   0.416897E+03   0.220890E+02  -0.593769E+00   0.147315E+06   0.133564E+02
  1591   0.414884E+03   0.221433E+02  -0.105355E+01   0.147163E+06   0.132067E+02
  1592   0.412912E+03   0.221950E+02  -0.151710E+01   0.147012E+06   0.130579E+02
  1593   0.410982E+03   0.222440E+02  -0.198420E+01   0.146860E+06   0.129100E+02
  1594   0.409093E+03   0.222904E+02  -0.245465E+01   0.146710E+06   0.127629E+02
  1595   0.407245E+03   0.223340E+02  -0.292822E+01   0.146559E+06   0.126168E+02
  1596   0.405438E+03   0.223749E+02  -0.340472E+01   0.146408E+06   0.124716E+02
  1597   0.403674E+03   0.224130E+02  -0.388392E+01   0.146258E+06   0.123273E+02
  1598   0.401952E+03   0.224485E+02  -0.436561E+01   0.146108E+06   0.121840E+02
  1599   0.400270E+03   0.224812E+02  -0.484959E+01   0.145959E+06   0.120416E+02
  1600   0.398631E+03   0.225110E+02  -0.533563E+01   0.145809E+06   0.119002E+02
  1601   0.397033E+03   0.225381E+02  -0.582354E+01   0.145660E+06   0.117598E+02
  1602   0.395477E+03   0.225624E+02  -0.631312E+01   0.145511E+06   0.116204E+02
  1603   0.393962E+03   0.225838E+02  -0.680417E+01   0.145362E+06   0.114820E+02
  1604   0.392489E+03   0.226025E+02  -0.729647E+01   0.145214E+06   0.113446E+02
  1605   0.391058E+03   0.226182E+02  -0.778986E+01   0.145065E+06   0.112082E+02
  1606   0.389667E+03   0.226311E+02  -0.828410E+01   0.144917E+06   0.110728E+02
  1607   0.388318E+03   0.226412E+02  -0.877893E+01   0.144770E+06   0.109384E+02
  1608   0.387010E+03   0.226483E+02  -0.927429E+01   0.144622E+06   0.108050E+02
  1609   0.385743E+03   0.226525E+02  -0.976980E+01   0.144475E+06   0.106727E+02
  1610   0.384516E+03   0.226540E+02  -0.102654E+02   0.144328E+06   0.105413E+02
  1611   0.383331E+03   0.226526E+02  -0.107607E+02   0.144181E+06   0.104110E+02
