#           k/h    P           
   0.184934E-01   0.239158E+05
   0.188670E-01   0.238462E+05
   0.192481E-01   0.237655E+05
   0.196370E-01   0.236736E+05
   0.200337E-01   0.235703E+05
   0.204384E-01   0.234556E+05
   0.208513E-01   0.233295E+05
   0.212725E-01   0.231919E+05
   0.217022E-01   0.230430E+05
   0.221406E-01   0.228827E+05
   0.225879E-01   0.227111E+05
   0.230442E-01   0.225284E+05
   0.235097E-01   0.223348E+05
   0.239847E-01   0.221303E+05
   0.244692E-01   0.219153E+05
   0.249635E-01   0.216901E+05
   0.254678E-01   0.214549E+05
   0.259823E-01   0.212102E+05
   0.265072E-01   0.209562E+05
   0.270426E-01   0.206934E+05
   0.275889E-01   0.204224E+05
   0.281463E-01   0.201438E+05
   0.287149E-01   0.198579E+05
   0.292949E-01   0.195655E+05
   0.298867E-01   0.192672E+05
   0.304905E-01   0.189636E+05
   0.311064E-01   0.186556E+05
   0.317348E-01   0.183439E+05
   0.323759E-01   0.180293E+05
   0.330299E-01   0.177125E+05
   0.336972E-01   0.173943E+05
   0.343779E-01   0.170757E+05
   0.350724E-01   0.167575E+05
   0.357809E-01   0.164404E+05
   0.365038E-01   0.161253E+05
   0.372412E-01   0.158132E+05
   0.379935E-01   0.155050E+05
   0.387610E-01   0.152016E+05
   0.395440E-01   0.149039E+05
   0.403429E-01   0.146124E+05
   0.411579E-01   0.143277E+05
   0.419893E-01   0.140501E+05
   0.428375E-01   0.137799E+05
   0.437029E-01   0.135176E+05
   0.445858E-01   0.132637E+05
   0.454865E-01   0.130191E+05
   0.464053E-01   0.127846E+05
   0.473428E-01   0.125609E+05
   0.482992E-01   0.123488E+05
   0.492749E-01   0.121479E+05
   0.502703E-01   0.119571E+05
   0.512858E-01   0.117756E+05
   0.523219E-01   0.116025E+05
   0.533789E-01   0.114369E+05
   0.544572E-01   0.112781E+05
   0.555573E-01   0.111253E+05
   0.566796E-01   0.109778E+05
   0.578246E-01   0.108347E+05
   0.589927E-01   0.106951E+05
   0.601845E-01   0.105579E+05
   0.614003E-01   0.104222E+05
   0.626407E-01   0.102868E+05
   0.639061E-01   0.101502E+05
   0.651971E-01   0.100111E+05
   0.665142E-01   0.986794E+04
   0.678578E-01   0.971907E+04
   0.692287E-01   0.956269E+04
   0.706272E-01   0.939732E+04
   0.720539E-01   0.922201E+04
   0.735095E-01   0.903611E+04
   0.749945E-01   0.883921E+04
   0.765095E-01   0.863171E+04
   0.780551E-01   0.841430E+04
   0.796319E-01   0.818794E+04
   0.812406E-01   0.795442E+04
   0.828817E-01   0.771564E+04
   0.845561E-01   0.747366E+04
   0.862642E-01   0.723078E+04
   0.880068E-01   0.698916E+04
   0.897847E-01   0.675107E+04
   0.915985E-01   0.651863E+04
   0.934489E-01   0.629396E+04
   0.953367E-01   0.607928E+04
   0.972626E-01   0.587651E+04
   0.992274E-01   0.568735E+04
   0.101232E+00   0.551334E+04
   0.103277E+00   0.535572E+04
   0.105363E+00   0.521481E+04
   0.107492E+00   0.509043E+04
   0.109663E+00   0.498193E+04
   0.111879E+00   0.488733E+04
   0.114139E+00   0.480447E+04
   0.116445E+00   0.473051E+04
   0.118797E+00   0.466217E+04
   0.121197E+00   0.459621E+04
   0.123645E+00   0.452925E+04
   0.126143E+00   0.445820E+04
   0.128691E+00   0.438048E+04
   0.131291E+00   0.429394E+04
   0.133943E+00   0.419749E+04
   0.136649E+00   0.409066E+04
   0.139409E+00   0.397414E+04
   0.142226E+00   0.384922E+04
   0.145099E+00   0.371819E+04
   0.148030E+00   0.358369E+04
   0.151020E+00   0.344894E+04
   0.154071E+00   0.331732E+04
   0.157184E+00   0.319262E+04
   0.160359E+00   0.307813E+04
   0.163598E+00   0.297649E+04
   0.166903E+00   0.288851E+04
   0.170275E+00   0.281371E+04
   0.173715E+00   0.275055E+04
   0.177224E+00   0.269661E+04
   0.180804E+00   0.264872E+04
   0.184457E+00   0.260385E+04
   0.188183E+00   0.255879E+04
   0.191985E+00   0.251015E+04
   0.195863E+00   0.245512E+04
   0.199820E+00   0.239249E+04
   0.203856E+00   0.232276E+04
   0.207974E+00   0.224746E+04
   0.212176E+00   0.216940E+04
   0.216462E+00   0.209181E+04
   0.220835E+00   0.201778E+04
   0.225296E+00   0.194998E+04
   0.229847E+00   0.189016E+04
   0.234490E+00   0.183877E+04
   0.239227E+00   0.179495E+04
   0.244060E+00   0.175684E+04
   0.248990E+00   0.172186E+04
   0.254020E+00   0.168711E+04
   0.259152E+00   0.164995E+04
   0.264387E+00   0.160893E+04
   0.269728E+00   0.156456E+04
   0.275177E+00   0.151753E+04
   0.280736E+00   0.147020E+04
   0.286407E+00   0.142471E+04
   0.292193E+00   0.138277E+04
   0.298096E+00   0.134555E+04
   0.304118E+00   0.131314E+04
   0.310261E+00   0.128411E+04
   0.316529E+00   0.125654E+04
   0.322923E+00   0.122906E+04
   0.329447E+00   0.120032E+04
   0.336102E+00   0.116987E+04
   0.342892E+00   0.113889E+04
   0.349819E+00   0.110826E+04
   0.356885E+00   0.107946E+04
   0.364095E+00   0.105300E+04
   0.371450E+00   0.102895E+04
   0.378954E+00   0.100668E+04
   0.386609E+00   0.985154E+03
   0.394419E+00   0.963513E+03
   0.402387E+00   0.941426E+03
   0.410516E+00   0.919316E+03
   0.418809E+00   0.897789E+03
   0.427269E+00   0.877374E+03
   0.435901E+00   0.858335E+03
   0.444706E+00   0.840371E+03
   0.453690E+00   0.823054E+03
   0.462855E+00   0.805962E+03
   0.472206E+00   0.788880E+03
   0.481745E+00   0.772128E+03
   0.491477E+00   0.756002E+03
   0.501405E+00   0.740581E+03
   0.511534E+00   0.725839E+03
   0.521868E+00   0.711596E+03
   0.532411E+00   0.697613E+03
   0.543166E+00   0.683877E+03
   0.554139E+00   0.670440E+03
   0.565333E+00   0.657500E+03
   0.576753E+00   0.644997E+03
   0.588404E+00   0.632854E+03
   0.600291E+00   0.620988E+03
   0.612418E+00   0.609367E+03
   0.624789E+00   0.598040E+03
   0.637411E+00   0.586998E+03
   0.650288E+00   0.576289E+03
   0.663424E+00   0.565796E+03
   0.676826E+00   0.555539E+03
   0.690499E+00   0.545483E+03
   0.704448E+00   0.535669E+03
   0.718679E+00   0.526061E+03
   0.733197E+00   0.516661E+03
   0.748009E+00   0.507427E+03
   0.763119E+00   0.498372E+03
   0.778536E+00   0.489494E+03
   0.794263E+00   0.480758E+03
   0.810308E+00   0.472184E+03
   0.826677E+00   0.463745E+03
   0.843378E+00   0.455437E+03
   0.860415E+00   0.447264E+03
   0.877797E+00   0.439207E+03
   0.895529E+00   0.431267E+03
   0.913620E+00   0.423437E+03
   0.932076E+00   0.415709E+03
   0.950906E+00   0.408079E+03
   0.970115E+00   0.400543E+03
   0.989713E+00   0.393096E+03
   0.100971E+01   0.385735E+03
   0.103010E+01   0.378457E+03
   0.105091E+01   0.371257E+03
   0.107214E+01   0.364135E+03
   0.109380E+01   0.357086E+03
   0.111590E+01   0.350108E+03
   0.113844E+01   0.343200E+03
   0.116144E+01   0.336360E+03
   0.118490E+01   0.329587E+03
   0.120884E+01   0.322880E+03
   0.123326E+01   0.316238E+03
   0.125817E+01   0.309662E+03
   0.128359E+01   0.303149E+03
   0.130952E+01   0.296702E+03
   0.133597E+01   0.290318E+03
   0.136296E+01   0.283999E+03
   0.139049E+01   0.277746E+03
   0.141858E+01   0.271558E+03
   0.144724E+01   0.265436E+03
   0.147648E+01   0.259382E+03
   0.150630E+01   0.253396E+03
   0.153673E+01   0.247480E+03
   0.156778E+01   0.241635E+03
   0.159945E+01   0.235862E+03
   0.163176E+01   0.230161E+03
   0.166472E+01   0.224535E+03
   0.169835E+01   0.218984E+03
   0.173266E+01   0.213509E+03
   0.176766E+01   0.208111E+03
   0.180337E+01   0.202793E+03
   0.183980E+01   0.197556E+03
   0.187697E+01   0.192400E+03
   0.191489E+01   0.187327E+03
   0.195357E+01   0.182337E+03
   0.199304E+01   0.177430E+03
   0.203330E+01   0.172609E+03
   0.207437E+01   0.167872E+03
   0.211628E+01   0.163223E+03
   0.215903E+01   0.158660E+03
   0.220265E+01   0.154185E+03
   0.224714E+01   0.149797E+03
   0.229254E+01   0.145497E+03
   0.233885E+01   0.141284E+03
   0.238610E+01   0.137160E+03
   0.243430E+01   0.133123E+03
   0.248348E+01   0.129174E+03
   0.253365E+01   0.125312E+03
   0.258483E+01   0.121536E+03
   0.263705E+01   0.117848E+03
   0.269032E+01   0.114245E+03
   0.274466E+01   0.110727E+03
   0.280011E+01   0.107295E+03
   0.285668E+01   0.103945E+03
   0.291439E+01   0.100679E+03
   0.297326E+01   0.974942E+02
   0.303332E+01   0.943905E+02
   0.309460E+01   0.913669E+02
   0.315712E+01   0.884223E+02
   0.322090E+01   0.855556E+02
   0.328596E+01   0.827658E+02
   0.335234E+01   0.800514E+02
   0.342006E+01   0.774113E+02
   0.348916E+01   0.748441E+02
   0.355964E+01   0.723487E+02
   0.363155E+01   0.699238E+02
   0.370491E+01   0.675682E+02
   0.377976E+01   0.652806E+02
   0.385611E+01   0.630597E+02
   0.393401E+01   0.609042E+02
   0.401348E+01   0.588125E+02
   0.409456E+01   0.567833E+02
   0.417727E+01   0.548152E+02
   0.426166E+01   0.529069E+02
   0.434775E+01   0.510572E+02
   0.443558E+01   0.492646E+02
   0.452519E+01   0.475278E+02
   0.461660E+01   0.458455E+02
   0.470987E+01   0.442163E+02
   0.480501E+01   0.426389E+02
   0.490208E+01   0.411118E+02
   0.500111E+01   0.396339E+02
   0.510214E+01   0.382038E+02
   0.520521E+01   0.368203E+02
   0.531036E+01   0.354821E+02
   0.541763E+01   0.341879E+02
   0.552708E+01   0.329366E+02
   0.563873E+01   0.317269E+02
   0.575264E+01   0.305577E+02
   0.586885E+01   0.294277E+02
   0.598741E+01   0.283359E+02
   0.610836E+01   0.272810E+02
   0.623176E+01   0.262621E+02
   0.635765E+01   0.252781E+02
   0.648609E+01   0.243279E+02
   0.661711E+01   0.234106E+02
   0.675079E+01   0.225251E+02
   0.688716E+01   0.216706E+02
   0.702629E+01   0.208459E+02
   0.716823E+01   0.200503E+02
   0.731304E+01   0.192827E+02
   0.746077E+01   0.185424E+02
   0.761149E+01   0.178285E+02
   0.776525E+01   0.171402E+02
   0.792212E+01   0.164767E+02
   0.808217E+01   0.158371E+02
   0.824543E+01   0.152206E+02
   0.841200E+01   0.146265E+02
   0.858193E+01   0.140541E+02
   0.875530E+01   0.135026E+02
   0.893217E+01   0.129714E+02
   0.911261E+01   0.124597E+02
   0.929670E+01   0.119670E+02
   0.948451E+01   0.114925E+02
   0.967610E+01   0.110356E+02
   0.987158E+01   0.105959E+02
   0.100710E+02   0.101726E+02
   0.102744E+02   0.976518E+01
   0.104820E+02   0.937315E+01
   0.106938E+02   0.899597E+01
   0.109098E+02   0.863310E+01
   0.111302E+02   0.828405E+01
   0.113550E+02   0.794835E+01
   0.115844E+02   0.762550E+01
   0.118184E+02   0.731507E+01
   0.120572E+02   0.701659E+01
   0.123007E+02   0.672964E+01
   0.125492E+02   0.645381E+01
   0.128027E+02   0.618869E+01
   0.130614E+02   0.593389E+01
   0.133252E+02   0.568906E+01
   0.135944E+02   0.545384E+01
   0.138691E+02   0.522786E+01
   0.141492E+02   0.501079E+01
   0.144351E+02   0.480230E+01
   0.147267E+02   0.460207E+01
   0.150242E+02   0.440979E+01
   0.153277E+02   0.422516E+01
   0.156373E+02   0.404791E+01
   0.159532E+02   0.387775E+01
   0.162755E+02   0.371443E+01
   0.166043E+02   0.355768E+01
   0.169397E+02   0.340725E+01
   0.172819E+02   0.326290E+01
   0.176310E+02   0.312441E+01
   0.179872E+02   0.299154E+01
   0.183505E+02   0.286408E+01
   0.187212E+02   0.274182E+01
   0.190994E+02   0.262457E+01
   0.194853E+02   0.251213E+01
   0.198789E+02   0.240430E+01
   0.202805E+02   0.230092E+01
   0.206902E+02   0.220181E+01
   0.211081E+02   0.210681E+01
   0.215346E+02   0.201574E+01
   0.219696E+02   0.192845E+01
   0.224134E+02   0.184480E+01
   0.228662E+02   0.176464E+01
   0.233281E+02   0.168784E+01
   0.237994E+02   0.161425E+01
   0.242802E+02   0.154376E+01
   0.247707E+02   0.147624E+01
   0.252710E+02   0.141156E+01
   0.257816E+02   0.134961E+01
   0.263024E+02   0.129029E+01
   0.268337E+02   0.123349E+01
   0.273758E+02   0.117910E+01
   0.279288E+02   0.112702E+01
   0.284930E+02   0.107717E+01
   0.290686E+02   0.102945E+01
   0.296558E+02   0.983778E+00
   0.302549E+02   0.940062E+00
   0.308661E+02   0.898225E+00
   0.314897E+02   0.858191E+00
   0.321258E+02   0.819885E+00
   0.327748E+02   0.783237E+00
   0.334369E+02   0.748178E+00
   0.341123E+02   0.714641E+00
   0.348014E+02   0.682563E+00
   0.355045E+02   0.651883E+00
   0.362217E+02   0.622542E+00
   0.369535E+02   0.594485E+00
   0.377000E+02   0.567657E+00
   0.384616E+02   0.542007E+00
   0.392386E+02   0.517485E+00
   0.400312E+02   0.494043E+00
   0.408399E+02   0.471634E+00
   0.416649E+02   0.450214E+00
   0.425066E+02   0.429740E+00
   0.433653E+02   0.410171E+00
   0.442413E+02   0.391470E+00
   0.451350E+02   0.373599E+00
   0.460469E+02   0.356521E+00
   0.469770E+02   0.340201E+00
   0.479261E+02   0.324604E+00
   0.488942E+02   0.309700E+00
   0.498820E+02   0.295459E+00
   0.508896E+02   0.281858E+00
   0.519177E+02   0.268873E+00
   0.529665E+02   0.256480E+00
   0.540365E+02   0.244656E+00
