#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.128343E+04   0.152048E+01   0.899457E-03   0.152048E+01   0.724126E-01  -0.214930E-06   0.899457E-03  -0.214930E-06   0.137024E-06
    44   0.130233E+04   0.142030E+01   0.880539E-03   0.142030E+01   0.780981E-01  -0.311965E-06   0.880539E-03  -0.311965E-06   0.136652E-06
    45   0.132147E+04   0.130867E+01   0.862189E-03   0.130867E+01   0.840754E-01  -0.381530E-06   0.862189E-03  -0.381530E-06   0.136252E-06
    46   0.134081E+04   0.118523E+01   0.844410E-03   0.118523E+01   0.903518E-01  -0.396545E-06   0.844410E-03  -0.396545E-06   0.135828E-06
    47   0.136033E+04   0.104943E+01   0.827182E-03   0.104943E+01   0.969275E-01  -0.374354E-06   0.827182E-03  -0.374354E-06   0.135381E-06
    48   0.138000E+04   0.900667E+00   0.810480E-03   0.900667E+00   0.103794E+00  -0.343404E-06   0.810480E-03  -0.343404E-06   0.134913E-06
    49   0.139981E+04   0.738399E+00   0.794278E-03   0.738399E+00   0.110943E+00  -0.332140E-06   0.794278E-03  -0.332140E-06   0.134426E-06
    50   0.141982E+04   0.562227E+00   0.778551E-03   0.562227E+00   0.118376E+00  -0.369010E-06   0.778551E-03  -0.369010E-06   0.133921E-06
    51   0.144009E+04   0.372062E+00   0.763280E-03   0.372062E+00   0.126096E+00  -0.471972E-06   0.763280E-03  -0.471972E-06   0.133399E-06
    52   0.146056E+04   0.168857E+00   0.748478E-03   0.168857E+00   0.134109E+00  -0.617030E-06   0.748478E-03  -0.617030E-06   0.132862E-06
    53   0.148117E+04  -0.463844E-01   0.734163E-03  -0.463844E-01   0.142415E+00  -0.769701E-06   0.734163E-03  -0.769701E-06   0.132310E-06
    54   0.150188E+04  -0.273520E+00   0.720354E-03  -0.273520E+00   0.151018E+00  -0.895502E-06   0.720354E-03  -0.895502E-06   0.131745E-06
    55   0.152271E+04  -0.512774E+00   0.707070E-03  -0.512774E+00   0.159921E+00  -0.959947E-06   0.707070E-03  -0.959947E-06   0.131168E-06
    56   0.154375E+04  -0.765018E+00   0.694319E-03  -0.765018E+00   0.169120E+00  -0.939050E-06   0.694319E-03  -0.939050E-06   0.130580E-06
    57   0.156512E+04  -0.103113E+01   0.682056E-03  -0.103113E+01   0.178614E+00  -0.850804E-06   0.682056E-03  -0.850804E-06   0.129981E-06
    58   0.158676E+04  -0.131132E+01   0.670228E-03  -0.131132E+01   0.188400E+00  -0.723700E-06   0.670228E-03  -0.723700E-06   0.129371E-06
    59   0.160859E+04  -0.160550E+01   0.658779E-03  -0.160550E+01   0.198478E+00  -0.586229E-06   0.658779E-03  -0.586229E-06   0.128752E-06
    60   0.163060E+04  -0.191317E+01   0.647653E-03  -0.191317E+01   0.208840E+00  -0.466881E-06   0.647653E-03  -0.466881E-06   0.128124E-06
    61   0.165278E+04  -0.223387E+01   0.636801E-03  -0.223387E+01   0.219480E+00  -0.389081E-06   0.636801E-03  -0.389081E-06   0.127488E-06
    62   0.167515E+04  -0.256759E+01   0.626192E-03  -0.256759E+01   0.230393E+00  -0.356000E-06   0.626192E-03  -0.356000E-06   0.126844E-06
    63   0.169772E+04  -0.291448E+01   0.615801E-03  -0.291448E+01   0.241578E+00  -0.365739E-06   0.615801E-03  -0.365739E-06   0.126193E-06
    64   0.172049E+04  -0.327466E+01   0.605603E-03  -0.327466E+01   0.253032E+00  -0.416405E-06   0.605603E-03  -0.416405E-06   0.125537E-06
    65   0.174350E+04  -0.364832E+01   0.595570E-03  -0.364832E+01   0.264754E+00  -0.506100E-06   0.595570E-03  -0.506100E-06   0.124877E-06
    66   0.176678E+04  -0.403567E+01   0.585691E-03  -0.403567E+01   0.276737E+00  -0.629995E-06   0.585691E-03  -0.629995E-06   0.124213E-06
