#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  1186   0.112860E+04   0.178135E+01   0.348746E-06   0.178135E+01   0.143102E+02  -0.788985E-07   0.348746E-06  -0.788985E-07   0.509278E-08
  1187   0.112417E+04   0.241602E+01   0.359791E-06   0.241602E+01   0.144628E+02  -0.832964E-07   0.359791E-06  -0.832964E-07   0.508581E-08
  1188   0.111969E+04   0.303386E+01   0.370950E-06   0.303386E+01   0.146188E+02  -0.876677E-07   0.370950E-06  -0.876677E-07   0.507886E-08
  1189   0.111517E+04   0.363466E+01   0.382219E-06   0.363466E+01   0.147784E+02  -0.920119E-07   0.382219E-06  -0.920119E-07   0.507192E-08
  1190   0.111059E+04   0.421824E+01   0.393598E-06   0.421824E+01   0.149414E+02  -0.963287E-07   0.393598E-06  -0.963287E-07   0.506499E-08
  1191   0.110599E+04   0.478438E+01   0.405084E-06   0.478438E+01   0.151077E+02  -0.100618E-06   0.405084E-06  -0.100618E-06   0.505808E-08
  1192   0.110134E+04   0.533289E+01   0.416676E-06   0.533289E+01   0.152772E+02  -0.104879E-06   0.416676E-06  -0.104879E-06   0.505119E-08
  1193   0.109665E+04   0.586357E+01   0.428372E-06   0.586357E+01   0.154499E+02  -0.109111E-06   0.428372E-06  -0.109111E-06   0.504431E-08
  1194   0.109194E+04   0.637622E+01   0.440169E-06   0.637622E+01   0.156256E+02  -0.113314E-06   0.440169E-06  -0.113314E-06   0.503745E-08
  1195   0.108718E+04   0.687068E+01   0.452067E-06   0.687068E+01   0.158043E+02  -0.117488E-06   0.452067E-06  -0.117488E-06   0.503060E-08
  1196   0.108239E+04   0.734680E+01   0.464062E-06   0.734680E+01   0.159859E+02  -0.121633E-06   0.464062E-06  -0.121633E-06   0.502376E-08
  1197   0.107757E+04   0.780443E+01   0.476154E-06   0.780443E+01   0.161703E+02  -0.125747E-06   0.476154E-06  -0.125747E-06   0.501695E-08
  1198   0.107273E+04   0.824344E+01   0.488340E-06   0.824344E+01   0.163573E+02  -0.129831E-06   0.488340E-06  -0.129831E-06   0.501014E-08
  1199   0.106786E+04   0.866358E+01   0.500619E-06   0.866358E+01   0.165469E+02  -0.133884E-06   0.500619E-06  -0.133884E-06   0.500336E-08
  1200   0.106295E+04   0.906486E+01   0.512988E-06   0.906486E+01   0.167391E+02  -0.137907E-06   0.512988E-06  -0.137907E-06   0.499658E-08
  1201   0.105803E+04   0.944697E+01   0.525447E-06   0.944697E+01   0.169336E+02  -0.141897E-06   0.525447E-06  -0.141897E-06   0.498982E-08
  1202   0.105308E+04   0.981000E+01   0.537991E-06   0.981000E+01   0.171305E+02  -0.145856E-06   0.537991E-06  -0.145856E-06   0.498308E-08
  1203   0.104811E+04   0.101537E+02   0.550621E-06   0.101537E+02   0.173295E+02  -0.149783E-06   0.550621E-06  -0.149783E-06   0.497635E-08
  1204   0.104313E+04   0.104781E+02   0.563332E-06   0.104781E+02   0.175308E+02  -0.153677E-06   0.563332E-06  -0.153677E-06   0.496964E-08
  1205   0.103812E+04   0.107831E+02   0.576123E-06   0.107831E+02   0.177340E+02  -0.157540E-06   0.576123E-06  -0.157540E-06   0.496294E-08
  1206   0.103310E+04   0.110686E+02   0.588992E-06   0.110686E+02   0.179392E+02  -0.161369E-06   0.588992E-06  -0.161369E-06   0.495626E-08
  1207   0.102807E+04   0.113345E+02   0.601936E-06   0.113345E+02   0.181461E+02  -0.165166E-06   0.601936E-06  -0.165166E-06   0.494959E-08
  1208   0.102302E+04   0.115808E+02   0.614953E-06   0.115808E+02   0.183549E+02  -0.168930E-06   0.614953E-06  -0.168930E-06   0.494293E-08
  1209   0.101797E+04   0.118074E+02   0.628042E-06   0.118074E+02   0.185652E+02  -0.172660E-06   0.628042E-06  -0.172660E-06   0.493629E-08
  1210   0.101291E+04   0.120144E+02   0.641198E-06   0.120144E+02   0.187771E+02  -0.176357E-06   0.641198E-06  -0.176357E-06   0.492967E-08
  1211   0.100783E+04   0.122017E+02   0.654422E-06   0.122017E+02   0.189904E+02  -0.180020E-06   0.654422E-06  -0.180020E-06   0.492305E-08
  1212   0.100276E+04   0.123693E+02   0.667709E-06   0.123693E+02   0.192051E+02  -0.183649E-06   0.667709E-06  -0.183649E-06   0.491646E-08
  1213   0.997678E+03   0.125171E+02   0.681059E-06   0.125171E+02   0.194210E+02  -0.187244E-06   0.681059E-06  -0.187244E-06   0.490987E-08
  1214   0.992597E+03   0.126452E+02   0.694468E-06   0.126452E+02   0.196381E+02  -0.190804E-06   0.694468E-06  -0.190804E-06   0.490331E-08
  1215   0.987523E+03   0.127536E+02   0.707935E-06   0.127536E+02   0.198562E+02  -0.194330E-06   0.707935E-06  -0.194330E-06   0.489675E-08
  1216   0.982442E+03   0.128423E+02   0.721457E-06   0.128423E+02   0.200752E+02  -0.197821E-06   0.721457E-06  -0.197821E-06   0.489021E-08
  1217   0.977368E+03   0.129113E+02   0.735031E-06   0.129113E+02   0.202951E+02  -0.201277E-06   0.735031E-06  -0.201277E-06   0.488369E-08
  1218   0.972302E+03   0.129606E+02   0.748657E-06   0.129606E+02   0.205157E+02  -0.204697E-06   0.748657E-06  -0.204697E-06   0.487718E-08
  1219   0.967243E+03   0.129901E+02   0.762331E-06   0.129901E+02   0.207369E+02  -0.208082E-06   0.762331E-06  -0.208082E-06   0.487068E-08
  1220   0.962184E+03   0.130001E+02   0.776051E-06   0.130001E+02   0.209586E+02  -0.211432E-06   0.776051E-06  -0.211432E-06   0.486420E-08
  1221   0.957147E+03   0.129903E+02   0.789816E-06   0.129903E+02   0.211807E+02  -0.214745E-06   0.789816E-06  -0.214745E-06   0.485773E-08
  1222   0.952110E+03   0.129610E+02   0.803622E-06   0.129610E+02   0.214031E+02  -0.218022E-06   0.803622E-06  -0.218022E-06   0.485127E-08
  1223   0.947096E+03   0.129122E+02   0.817468E-06   0.129122E+02   0.216258E+02  -0.221263E-06   0.817468E-06  -0.221263E-06   0.484483E-08
  1224   0.942088E+03   0.128440E+02   0.831351E-06   0.128440E+02   0.218485E+02  -0.224467E-06   0.831351E-06  -0.224467E-06   0.483841E-08
  1225   0.937103E+03   0.127566E+02   0.845269E-06   0.127566E+02   0.220713E+02  -0.227634E-06   0.845269E-06  -0.227634E-06   0.483199E-08
  1226   0.932133E+03   0.126501E+02   0.859220E-06   0.126501E+02   0.222940E+02  -0.230764E-06   0.859220E-06  -0.230764E-06   0.482560E-08
  1227   0.927185E+03   0.125244E+02   0.873201E-06   0.125244E+02   0.225165E+02  -0.233857E-06   0.873201E-06  -0.233857E-06   0.481921E-08
  1228   0.922260E+03   0.123800E+02   0.887211E-06   0.123800E+02   0.227387E+02  -0.236912E-06   0.887211E-06  -0.236912E-06   0.481284E-08
  1229   0.917364E+03   0.122167E+02   0.901247E-06   0.122167E+02   0.229606E+02  -0.239930E-06   0.901247E-06  -0.239930E-06   0.480648E-08
  1230   0.912490E+03   0.120349E+02   0.915307E-06   0.120349E+02   0.231820E+02  -0.242909E-06   0.915307E-06  -0.242909E-06   0.480014E-08
  1231   0.907639E+03   0.118344E+02   0.929388E-06   0.118344E+02   0.234029E+02  -0.245851E-06   0.929388E-06  -0.245851E-06   0.479381E-08
  1232   0.902817E+03   0.116157E+02   0.943489E-06   0.116157E+02   0.236231E+02  -0.248754E-06   0.943489E-06  -0.248754E-06   0.478749E-08
  1233   0.898033E+03   0.113786E+02   0.957607E-06   0.113786E+02   0.238425E+02  -0.251618E-06   0.957607E-06  -0.251618E-06   0.478119E-08
  1234   0.893270E+03   0.111234E+02   0.971740E-06   0.111234E+02   0.240611E+02  -0.254444E-06   0.971740E-06  -0.254444E-06   0.477490E-08
  1235   0.888545E+03   0.108503E+02   0.985886E-06   0.108503E+02   0.242787E+02  -0.257230E-06   0.985886E-06  -0.257230E-06   0.476862E-08
  1236   0.883850E+03   0.105592E+02   0.100004E-05   0.105592E+02   0.244952E+02  -0.259977E-06   0.100004E-05  -0.259977E-06   0.476236E-08
  1237   0.879191E+03   0.102505E+02   0.101421E-05   0.102505E+02   0.247105E+02  -0.262685E-06   0.101421E-05  -0.262685E-06   0.475611E-08
  1238   0.874570E+03   0.992439E+01   0.102838E-05   0.992439E+01   0.249246E+02  -0.265353E-06   0.102838E-05  -0.265353E-06   0.474988E-08
  1239   0.869986E+03   0.958092E+01   0.104255E-05   0.958092E+01   0.251373E+02  -0.267980E-06   0.104255E-05  -0.267980E-06   0.474365E-08
  1240   0.865439E+03   0.922037E+01   0.105672E-05   0.922037E+01   0.253485E+02  -0.270568E-06   0.105672E-05  -0.270568E-06   0.473744E-08
  1241   0.860936E+03   0.884295E+01   0.107090E-05   0.884295E+01   0.255582E+02  -0.273115E-06   0.107090E-05  -0.273115E-06   0.473125E-08
  1242   0.856479E+03   0.844888E+01   0.108507E-05   0.844888E+01   0.257663E+02  -0.275622E-06   0.108507E-05  -0.275622E-06   0.472507E-08
  1243   0.852058E+03   0.803832E+01   0.109924E-05   0.803832E+01   0.259727E+02  -0.278088E-06   0.109924E-05  -0.278088E-06   0.471890E-08
  1244   0.847682E+03   0.761142E+01   0.111340E-05   0.761142E+01   0.261772E+02  -0.280513E-06   0.111340E-05  -0.280513E-06   0.471274E-08
  1245   0.843350E+03   0.716853E+01   0.112754E-05   0.716853E+01   0.263797E+02  -0.282896E-06   0.112754E-05  -0.282896E-06   0.470660E-08
  1246   0.839070E+03   0.670981E+01   0.114168E-05   0.670981E+01   0.265803E+02  -0.285238E-06   0.114168E-05  -0.285238E-06   0.470047E-08
  1247   0.834835E+03   0.623551E+01   0.115580E-05   0.623551E+01   0.267788E+02  -0.287538E-06   0.115580E-05  -0.287538E-06   0.469435E-08
  1248   0.830652E+03   0.574585E+01   0.116991E-05   0.574585E+01   0.269751E+02  -0.289796E-06   0.116991E-05  -0.289796E-06   0.468825E-08
  1249   0.826514E+03   0.524104E+01   0.118400E-05   0.524104E+01   0.271690E+02  -0.292012E-06   0.118400E-05  -0.292012E-06   0.468215E-08
  1250   0.822435E+03   0.472134E+01   0.119806E-05   0.472134E+01   0.273606E+02  -0.294186E-06   0.119806E-05  -0.294186E-06   0.467608E-08
  1251   0.818400E+03   0.418703E+01   0.121211E-05   0.418703E+01   0.275498E+02  -0.296317E-06   0.121211E-05  -0.296317E-06   0.467001E-08
  1252   0.814417E+03   0.363842E+01   0.122613E-05   0.363842E+01   0.277364E+02  -0.298405E-06   0.122613E-05  -0.298405E-06   0.466396E-08
  1253   0.810494E+03   0.307583E+01   0.124012E-05   0.307583E+01   0.279203E+02  -0.300451E-06   0.124012E-05  -0.300451E-06   0.465792E-08
  1254   0.806623E+03   0.249955E+01   0.125408E-05   0.249955E+01   0.281017E+02  -0.302455E-06   0.125408E-05  -0.302455E-06   0.465189E-08
  1255   0.802812E+03   0.190992E+01   0.126802E-05   0.190992E+01   0.282804E+02  -0.304416E-06   0.126802E-05  -0.304416E-06   0.464587E-08
  1256   0.799059E+03   0.130721E+01   0.128192E-05   0.130721E+01   0.284562E+02  -0.306334E-06   0.128192E-05  -0.306334E-06   0.463987E-08
  1257   0.795366E+03   0.691753E+00   0.129580E-05   0.691753E+00   0.286291E+02  -0.308210E-06   0.129580E-05  -0.308210E-06   0.463388E-08
  1258   0.791733E+03   0.638478E-01   0.130964E-05   0.638478E-01   0.287992E+02  -0.310044E-06   0.130964E-05  -0.310044E-06   0.462791E-08
  1259   0.788152E+03  -0.576195E+00   0.132344E-05  -0.576195E+00   0.289662E+02  -0.311836E-06   0.132344E-05  -0.311836E-06   0.462194E-08
  1260   0.784645E+03  -0.122806E+01   0.133720E-05  -0.122806E+01   0.291302E+02  -0.313585E-06   0.133720E-05  -0.313585E-06   0.461599E-08
  1261   0.781189E+03  -0.189146E+01   0.135093E-05  -0.189146E+01   0.292911E+02  -0.315292E-06   0.135093E-05  -0.315292E-06   0.461005E-08
  1262   0.777801E+03  -0.256607E+01   0.136462E-05  -0.256607E+01   0.294486E+02  -0.316957E-06   0.136462E-05  -0.316957E-06   0.460412E-08
  1263   0.774480E+03  -0.325159E+01   0.137827E-05  -0.325159E+01   0.296029E+02  -0.318580E-06   0.137827E-05  -0.318580E-06   0.459821E-08
  1264   0.771218E+03  -0.394769E+01   0.139187E-05  -0.394769E+01   0.297540E+02  -0.320161E-06   0.139187E-05  -0.320161E-06   0.459231E-08
  1265   0.768022E+03  -0.465405E+01   0.140543E-05  -0.465405E+01   0.299015E+02  -0.321700E-06   0.140543E-05  -0.321700E-06   0.458642E-08
  1266   0.764887E+03  -0.537030E+01   0.141894E-05  -0.537030E+01   0.300455E+02  -0.323197E-06   0.141894E-05  -0.323197E-06   0.458054E-08
  1267   0.761825E+03  -0.609611E+01   0.143241E-05  -0.609611E+01   0.301861E+02  -0.324651E-06   0.143241E-05  -0.324651E-06   0.457467E-08
  1268   0.758831E+03  -0.683112E+01   0.144582E-05  -0.683112E+01   0.303231E+02  -0.326064E-06   0.144582E-05  -0.326064E-06   0.456882E-08
  1269   0.755903E+03  -0.757498E+01   0.145919E-05  -0.757498E+01   0.304564E+02  -0.327436E-06   0.145919E-05  -0.327436E-06   0.456298E-08
  1270   0.753042E+03  -0.832736E+01   0.147250E-05  -0.832736E+01   0.305862E+02  -0.328765E-06   0.147250E-05  -0.328765E-06   0.455715E-08
  1271   0.750248E+03  -0.908786E+01   0.148576E-05  -0.908786E+01   0.307121E+02  -0.330053E-06   0.148576E-05  -0.330053E-06   0.455133E-08
  1272   0.747528E+03  -0.985623E+01   0.149897E-05  -0.985623E+01   0.308342E+02  -0.331298E-06   0.149897E-05  -0.331298E-06   0.454553E-08
  1273   0.744875E+03  -0.106320E+02   0.151211E-05  -0.106320E+02   0.309525E+02  -0.332503E-06   0.151211E-05  -0.332503E-06   0.453974E-08
  1274   0.742288E+03  -0.114148E+02   0.152520E-05  -0.114148E+02   0.310669E+02  -0.333665E-06   0.152520E-05  -0.333665E-06   0.453396E-08
  1275   0.739775E+03  -0.122044E+02   0.153823E-05  -0.122044E+02   0.311775E+02  -0.334786E-06   0.153823E-05  -0.334786E-06   0.452819E-08
  1276   0.737333E+03  -0.130003E+02   0.155120E-05  -0.130003E+02   0.312840E+02  -0.335866E-06   0.155120E-05  -0.335866E-06   0.452243E-08
  1277   0.734962E+03  -0.138023E+02   0.156411E-05  -0.138023E+02   0.313866E+02  -0.336904E-06   0.156411E-05  -0.336904E-06   0.451669E-08
  1278   0.732663E+03  -0.146099E+02   0.157695E-05  -0.146099E+02   0.314852E+02  -0.337900E-06   0.157695E-05  -0.337900E-06   0.451095E-08
  1279   0.730435E+03  -0.154228E+02   0.158973E-05  -0.154228E+02   0.315795E+02  -0.338855E-06   0.158973E-05  -0.338855E-06   0.450523E-08
  1280   0.728279E+03  -0.162406E+02   0.160243E-05  -0.162406E+02   0.316699E+02  -0.339769E-06   0.160243E-05  -0.339769E-06   0.449952E-08
  1281   0.726195E+03  -0.170630E+02   0.161507E-05  -0.170630E+02   0.317559E+02  -0.340641E-06   0.161507E-05  -0.340641E-06   0.449382E-08
  1282   0.724183E+03  -0.178896E+02   0.162764E-05  -0.178896E+02   0.318378E+02  -0.341473E-06   0.162764E-05  -0.341473E-06   0.448814E-08
  1283   0.722243E+03  -0.187201E+02   0.164014E-05  -0.187201E+02   0.319154E+02  -0.342262E-06   0.164014E-05  -0.342262E-06   0.448246E-08
  1284   0.720375E+03  -0.195539E+02   0.165256E-05  -0.195539E+02   0.319887E+02  -0.343011E-06   0.165256E-05  -0.343011E-06   0.447680E-08
  1285   0.718580E+03  -0.203910E+02   0.166491E-05  -0.203910E+02   0.320577E+02  -0.343719E-06   0.166491E-05  -0.343719E-06   0.447115E-08
  1286   0.716857E+03  -0.212307E+02   0.167718E-05  -0.212307E+02   0.321222E+02  -0.344385E-06   0.167718E-05  -0.344385E-06   0.446551E-08
  1287   0.715207E+03  -0.220729E+02   0.168938E-05  -0.220729E+02   0.321825E+02  -0.345011E-06   0.168938E-05  -0.345011E-06   0.445988E-08
  1288   0.713629E+03  -0.229170E+02   0.170149E-05  -0.229170E+02   0.322383E+02  -0.345595E-06   0.170149E-05  -0.345595E-06   0.445427E-08
  1289   0.712122E+03  -0.237626E+02   0.171352E-05  -0.237626E+02   0.322897E+02  -0.346138E-06   0.171352E-05  -0.346138E-06   0.444866E-08
  1290   0.710690E+03  -0.246095E+02   0.172547E-05  -0.246095E+02   0.323368E+02  -0.346641E-06   0.172547E-05  -0.346641E-06   0.444307E-08
  1291   0.709329E+03  -0.254573E+02   0.173734E-05  -0.254573E+02   0.323794E+02  -0.347103E-06   0.173734E-05  -0.347103E-06   0.443749E-08
  1292   0.708041E+03  -0.263055E+02   0.174912E-05  -0.263055E+02   0.324176E+02  -0.347523E-06   0.174912E-05  -0.347523E-06   0.443192E-08
  1293   0.706824E+03  -0.271538E+02   0.176081E-05  -0.271538E+02   0.324514E+02  -0.347903E-06   0.176081E-05  -0.347903E-06   0.442636E-08
  1294   0.705681E+03  -0.280020E+02   0.177242E-05  -0.280020E+02   0.324807E+02  -0.348242E-06   0.177242E-05  -0.348242E-06   0.442081E-08
  1295   0.704608E+03  -0.288494E+02   0.178393E-05  -0.288494E+02   0.325055E+02  -0.348541E-06   0.178393E-05  -0.348541E-06   0.441527E-08
  1296   0.703606E+03  -0.296959E+02   0.179535E-05  -0.296959E+02   0.325258E+02  -0.348799E-06   0.179535E-05  -0.348799E-06   0.440974E-08
  1297   0.702676E+03  -0.305411E+02   0.180668E-05  -0.305411E+02   0.325417E+02  -0.349016E-06   0.180668E-05  -0.349016E-06   0.440423E-08
  1298   0.701817E+03  -0.313846E+02   0.181792E-05  -0.313846E+02   0.325531E+02  -0.349193E-06   0.181792E-05  -0.349193E-06   0.439873E-08
  1299   0.701027E+03  -0.322261E+02   0.182906E-05  -0.322261E+02   0.325598E+02  -0.349329E-06   0.182906E-05  -0.349329E-06   0.439323E-08
  1300   0.700308E+03  -0.330651E+02   0.184010E-05  -0.330651E+02   0.325621E+02  -0.349424E-06   0.184010E-05  -0.349424E-06   0.438775E-08
  1301   0.699658E+03  -0.339015E+02   0.185104E-05  -0.339015E+02   0.325598E+02  -0.349479E-06   0.185104E-05  -0.349479E-06   0.438228E-08
  1302   0.699077E+03  -0.347347E+02   0.186188E-05  -0.347347E+02   0.325531E+02  -0.349494E-06   0.186188E-05  -0.349494E-06   0.437682E-08
  1303   0.698565E+03  -0.355645E+02   0.187262E-05  -0.355645E+02   0.325419E+02  -0.349470E-06   0.187262E-05  -0.349470E-06   0.437137E-08
  1304   0.698120E+03  -0.363905E+02   0.188326E-05  -0.363905E+02   0.325262E+02  -0.349405E-06   0.188326E-05  -0.349405E-06   0.436594E-08
  1305   0.697744E+03  -0.372124E+02   0.189379E-05  -0.372124E+02   0.325060E+02  -0.349301E-06   0.189379E-05  -0.349301E-06   0.436051E-08
  1306   0.697435E+03  -0.380298E+02   0.190423E-05  -0.380298E+02   0.324814E+02  -0.349157E-06   0.190423E-05  -0.349157E-06   0.435509E-08
  1307   0.697192E+03  -0.388424E+02   0.191455E-05  -0.388424E+02   0.324524E+02  -0.348975E-06   0.191455E-05  -0.348975E-06   0.434969E-08
  1308   0.697015E+03  -0.396498E+02   0.192478E-05  -0.396498E+02   0.324190E+02  -0.348754E-06   0.192478E-05  -0.348754E-06   0.434430E-08
  1309   0.696904E+03  -0.404518E+02   0.193489E-05  -0.404518E+02   0.323811E+02  -0.348495E-06   0.193489E-05  -0.348495E-06   0.433891E-08
  1310   0.696857E+03  -0.412478E+02   0.194491E-05  -0.412478E+02   0.323388E+02  -0.348198E-06   0.194491E-05  -0.348198E-06   0.433354E-08
  1311   0.696874E+03  -0.420377E+02   0.195481E-05  -0.420377E+02   0.322921E+02  -0.347862E-06   0.195481E-05  -0.347862E-06   0.432818E-08
  1312   0.696954E+03  -0.428211E+02   0.196461E-05  -0.428211E+02   0.322411E+02  -0.347489E-06   0.196461E-05  -0.347489E-06   0.432283E-08
  1313   0.697097E+03  -0.435976E+02   0.197429E-05  -0.435976E+02   0.321856E+02  -0.347079E-06   0.197429E-05  -0.347079E-06   0.431749E-08
  1314   0.697301E+03  -0.443671E+02   0.198387E-05  -0.443671E+02   0.321259E+02  -0.346631E-06   0.198387E-05  -0.346631E-06   0.431216E-08
  1315   0.697567E+03  -0.451290E+02   0.199334E-05  -0.451290E+02   0.320619E+02  -0.346146E-06   0.199334E-05  -0.346146E-06   0.430684E-08
  1316   0.697892E+03  -0.458831E+02   0.200270E-05  -0.458831E+02   0.319936E+02  -0.345625E-06   0.200270E-05  -0.345625E-06   0.430153E-08
  1317   0.698277E+03  -0.466293E+02   0.201194E-05  -0.466293E+02   0.319213E+02  -0.345068E-06   0.201194E-05  -0.345068E-06   0.429623E-08
  1318   0.698721E+03  -0.473670E+02   0.202107E-05  -0.473670E+02   0.318446E+02  -0.344474E-06   0.202107E-05  -0.344474E-06   0.429094E-08
  1319   0.699222E+03  -0.480961E+02   0.203009E-05  -0.480961E+02   0.317640E+02  -0.343844E-06   0.203009E-05  -0.343844E-06   0.428567E-08
  1320   0.699780E+03  -0.488163E+02   0.203900E-05  -0.488163E+02   0.316793E+02  -0.343179E-06   0.203900E-05  -0.343179E-06   0.428040E-08
  1321   0.700395E+03  -0.495271E+02   0.204778E-05  -0.495271E+02   0.315906E+02  -0.342478E-06   0.204778E-05  -0.342478E-06   0.427514E-08
  1322   0.701065E+03  -0.502285E+02   0.205646E-05  -0.502285E+02   0.314979E+02  -0.341743E-06   0.205646E-05  -0.341743E-06   0.426990E-08
  1323   0.701789E+03  -0.509201E+02   0.206501E-05  -0.509201E+02   0.314013E+02  -0.340972E-06   0.206501E-05  -0.340972E-06   0.426466E-08
  1324   0.702566E+03  -0.516016E+02   0.207345E-05  -0.516016E+02   0.313009E+02  -0.340167E-06   0.207345E-05  -0.340167E-06   0.425944E-08
  1325   0.703395E+03  -0.522727E+02   0.208178E-05  -0.522727E+02   0.311965E+02  -0.339327E-06   0.208178E-05  -0.339327E-06   0.425422E-08
  1326   0.704276E+03  -0.529331E+02   0.208998E-05  -0.529331E+02   0.310883E+02  -0.338453E-06   0.208998E-05  -0.338453E-06   0.424902E-08
  1327   0.705207E+03  -0.535828E+02   0.209806E-05  -0.535828E+02   0.309763E+02  -0.337545E-06   0.209806E-05  -0.337545E-06   0.424382E-08
  1328   0.706187E+03  -0.542212E+02   0.210602E-05  -0.542212E+02   0.308605E+02  -0.336604E-06   0.210602E-05  -0.336604E-06   0.423864E-08
  1329   0.707214E+03  -0.548482E+02   0.211386E-05  -0.548482E+02   0.307411E+02  -0.335629E-06   0.211386E-05  -0.335629E-06   0.423346E-08
  1330   0.708289E+03  -0.554636E+02   0.212158E-05  -0.554636E+02   0.306181E+02  -0.334622E-06   0.212158E-05  -0.334622E-06   0.422830E-08
  1331   0.709411E+03  -0.560671E+02   0.212918E-05  -0.560671E+02   0.304915E+02  -0.333581E-06   0.212918E-05  -0.333581E-06   0.422315E-08
  1332   0.710576E+03  -0.566585E+02   0.213665E-05  -0.566585E+02   0.303613E+02  -0.332508E-06   0.213665E-05  -0.332508E-06   0.421800E-08
  1333   0.711786E+03  -0.572376E+02   0.214400E-05  -0.572376E+02   0.302276E+02  -0.331402E-06   0.214400E-05  -0.331402E-06   0.421287E-08
  1334   0.713038E+03  -0.578041E+02   0.215122E-05  -0.578041E+02   0.300906E+02  -0.330264E-06   0.215122E-05  -0.330264E-06   0.420774E-08
  1335   0.714330E+03  -0.583577E+02   0.215832E-05  -0.583577E+02   0.299502E+02  -0.329095E-06   0.215832E-05  -0.329095E-06   0.420263E-08
  1336   0.715664E+03  -0.588984E+02   0.216529E-05  -0.588984E+02   0.298065E+02  -0.327894E-06   0.216529E-05  -0.327894E-06   0.419753E-08
  1337   0.717037E+03  -0.594259E+02   0.217214E-05  -0.594259E+02   0.296595E+02  -0.326661E-06   0.217214E-05  -0.326661E-06   0.419243E-08
  1338   0.718448E+03  -0.599400E+02   0.217885E-05  -0.599400E+02   0.295094E+02  -0.325398E-06   0.217885E-05  -0.325398E-06   0.418735E-08
  1339   0.719895E+03  -0.604405E+02   0.218544E-05  -0.604405E+02   0.293561E+02  -0.324103E-06   0.218544E-05  -0.324103E-06   0.418228E-08
  1340   0.721378E+03  -0.609272E+02   0.219189E-05  -0.609272E+02   0.291999E+02  -0.322778E-06   0.219189E-05  -0.322778E-06   0.417721E-08
  1341   0.722895E+03  -0.613999E+02   0.219822E-05  -0.613999E+02   0.290405E+02  -0.321423E-06   0.219822E-05  -0.321423E-06   0.417216E-08
  1342   0.724445E+03  -0.618584E+02   0.220441E-05  -0.618584E+02   0.288783E+02  -0.320038E-06   0.220441E-05  -0.320038E-06   0.416711E-08
  1343   0.726027E+03  -0.623027E+02   0.221047E-05  -0.623027E+02   0.287131E+02  -0.318623E-06   0.221047E-05  -0.318623E-06   0.416208E-08
  1344   0.727639E+03  -0.627324E+02   0.221640E-05  -0.627324E+02   0.285452E+02  -0.317178E-06   0.221640E-05  -0.317178E-06   0.415705E-08
  1345   0.729281E+03  -0.631474E+02   0.222220E-05  -0.631474E+02   0.283744E+02  -0.315704E-06   0.222220E-05  -0.315704E-06   0.415204E-08
  1346   0.730950E+03  -0.635475E+02   0.222786E-05  -0.635475E+02   0.282010E+02  -0.314201E-06   0.222786E-05  -0.314201E-06   0.414703E-08
  1347   0.732646E+03  -0.639326E+02   0.223338E-05  -0.639326E+02   0.280249E+02  -0.312669E-06   0.223338E-05  -0.312669E-06   0.414204E-08
  1348   0.734366E+03  -0.643025E+02   0.223877E-05  -0.643025E+02   0.278462E+02  -0.311108E-06   0.223877E-05  -0.311108E-06   0.413705E-08
  1349   0.736111E+03  -0.646571E+02   0.224402E-05  -0.646571E+02   0.276651E+02  -0.309519E-06   0.224402E-05  -0.309519E-06   0.413207E-08
  1350   0.737878E+03  -0.649963E+02   0.224914E-05  -0.649963E+02   0.274816E+02  -0.307903E-06   0.224914E-05  -0.307903E-06   0.412710E-08
  1351   0.739667E+03  -0.653201E+02   0.225412E-05  -0.653201E+02   0.272957E+02  -0.306258E-06   0.225412E-05  -0.306258E-06   0.412215E-08
  1352   0.741476E+03  -0.656283E+02   0.225895E-05  -0.656283E+02   0.271075E+02  -0.304586E-06   0.225895E-05  -0.304586E-06   0.411720E-08
  1353   0.743306E+03  -0.659209E+02   0.226365E-05  -0.659209E+02   0.269172E+02  -0.302887E-06   0.226365E-05  -0.302887E-06   0.411226E-08
  1354   0.745148E+03  -0.661978E+02   0.226822E-05  -0.661978E+02   0.267249E+02  -0.301161E-06   0.226822E-05  -0.301161E-06   0.410733E-08
  1355   0.747012E+03  -0.664589E+02   0.227264E-05  -0.664589E+02   0.265305E+02  -0.299408E-06   0.227264E-05  -0.299408E-06   0.410241E-08
  1356   0.748890E+03  -0.667042E+02   0.227693E-05  -0.667042E+02   0.263343E+02  -0.297630E-06   0.227693E-05  -0.297630E-06   0.409750E-08
  1357   0.750784E+03  -0.669336E+02   0.228108E-05  -0.669336E+02   0.261363E+02  -0.295826E-06   0.228108E-05  -0.295826E-06   0.409260E-08
  1358   0.752693E+03  -0.671469E+02   0.228510E-05  -0.671469E+02   0.259364E+02  -0.293996E-06   0.228510E-05  -0.293996E-06   0.408771E-08
  1359   0.754609E+03  -0.673443E+02   0.228897E-05  -0.673443E+02   0.257349E+02  -0.292142E-06   0.228897E-05  -0.292142E-06   0.408282E-08
  1360   0.756533E+03  -0.675255E+02   0.229272E-05  -0.675255E+02   0.255319E+02  -0.290262E-06   0.229272E-05  -0.290262E-06   0.407795E-08
  1361   0.758464E+03  -0.676905E+02   0.229632E-05  -0.676905E+02   0.253273E+02  -0.288359E-06   0.229632E-05  -0.288359E-06   0.407308E-08
