#    L    TT             EE             BB             TE          
    91   0.242667E+04   0.638494E+00   0.266193E-02  -0.172904E+02
    92   0.245594E+04   0.654046E+00   0.272109E-02  -0.179259E+02
    93   0.248542E+04   0.669568E+00   0.278093E-02  -0.185659E+02
    94   0.251512E+04   0.685048E+00   0.284146E-02  -0.192101E+02
    95   0.254505E+04   0.700472E+00   0.290267E-02  -0.198582E+02
    96   0.257520E+04   0.715825E+00   0.296457E-02  -0.205096E+02
    97   0.260557E+04   0.731093E+00   0.302717E-02  -0.211639E+02
    98   0.263617E+04   0.746259E+00   0.309047E-02  -0.218207E+02
    99   0.266699E+04   0.761311E+00   0.315447E-02  -0.224794E+02
   100   0.269802E+04   0.776237E+00   0.321918E-02  -0.231396E+02
   101   0.272927E+04   0.791022E+00   0.328460E-02  -0.238007E+02
   102   0.276074E+04   0.805644E+00   0.335073E-02  -0.244624E+02
   103   0.279241E+04   0.820103E+00   0.341759E-02  -0.251240E+02
   104   0.282428E+04   0.834370E+00   0.348517E-02  -0.257850E+02
   105   0.285634E+04   0.848438E+00   0.355348E-02  -0.264449E+02
   106   0.288860E+04   0.862292E+00   0.362253E-02  -0.271031E+02
   107   0.292103E+04   0.875925E+00   0.369231E-02  -0.277590E+02
   108   0.295363E+04   0.889315E+00   0.376284E-02  -0.284122E+02
   109   0.298641E+04   0.902454E+00   0.383412E-02  -0.290618E+02
   110   0.301934E+04   0.915321E+00   0.390616E-02  -0.297076E+02
   111   0.305243E+04   0.927908E+00   0.397896E-02  -0.303490E+02
   112   0.308567E+04   0.940209E+00   0.405252E-02  -0.309852E+02
   113   0.311905E+04   0.952200E+00   0.412686E-02  -0.316158E+02
   114   0.315256E+04   0.963867E+00   0.420198E-02  -0.322403E+02
   115   0.318621E+04   0.975208E+00   0.427788E-02  -0.328579E+02
   116   0.321998E+04   0.986211E+00   0.435457E-02  -0.334683E+02
   117   0.325387E+04   0.996851E+00   0.443205E-02  -0.340708E+02
   118   0.328786E+04   0.100713E+01   0.451034E-02  -0.346648E+02
   119   0.332195E+04   0.101703E+01   0.458944E-02  -0.352499E+02
   120   0.335614E+04   0.102655E+01   0.466935E-02  -0.358253E+02
   121   0.339041E+04   0.103566E+01   0.475009E-02  -0.363906E+02
   122   0.342476E+04   0.104437E+01   0.483165E-02  -0.369453E+02
   123   0.345917E+04   0.105267E+01   0.491404E-02  -0.374888E+02
   124   0.349364E+04   0.106053E+01   0.499727E-02  -0.380204E+02
   125   0.352816E+04   0.106797E+01   0.508135E-02  -0.385398E+02
   126   0.356273E+04   0.107496E+01   0.516628E-02  -0.390463E+02
   127   0.359732E+04   0.108151E+01   0.525207E-02  -0.395394E+02
   128   0.363194E+04   0.108759E+01   0.533872E-02  -0.400186E+02
   129   0.366658E+04   0.109322E+01   0.542625E-02  -0.404834E+02
   130   0.370122E+04   0.109837E+01   0.551465E-02  -0.409332E+02
   131   0.373585E+04   0.110305E+01   0.560393E-02  -0.413675E+02
   132   0.377048E+04   0.110725E+01   0.569411E-02  -0.417859E+02
   133   0.380509E+04   0.111096E+01   0.578518E-02  -0.421878E+02
   134   0.383967E+04   0.111420E+01   0.587715E-02  -0.425728E+02
   135   0.387422E+04   0.111694E+01   0.597003E-02  -0.429405E+02
   136   0.390873E+04   0.111919E+01   0.606382E-02  -0.432902E+02
   137   0.394319E+04   0.112095E+01   0.615854E-02  -0.436216E+02
   138   0.397759E+04   0.112222E+01   0.625417E-02  -0.439342E+02
   139   0.401192E+04   0.112300E+01   0.635074E-02  -0.442277E+02
   140   0.404619E+04   0.112328E+01   0.644825E-02  -0.445017E+02
   141   0.408037E+04   0.112308E+01   0.654670E-02  -0.447556E+02
   142   0.411447E+04   0.112238E+01   0.664609E-02  -0.449891E+02
   143   0.414847E+04   0.112120E+01   0.674644E-02  -0.452019E+02
   144   0.418235E+04   0.111954E+01   0.684775E-02  -0.453935E+02
   145   0.421613E+04   0.111740E+01   0.695001E-02  -0.455635E+02
   146   0.424977E+04   0.111478E+01   0.705325E-02  -0.457116E+02
   147   0.428326E+04   0.111170E+01   0.715745E-02  -0.458372E+02
   148   0.431659E+04   0.110816E+01   0.726263E-02  -0.459400E+02
   149   0.434974E+04   0.110416E+01   0.736880E-02  -0.460197E+02
   150   0.438270E+04   0.109972E+01   0.747594E-02  -0.460758E+02
   151   0.441546E+04   0.109483E+01   0.758408E-02  -0.461079E+02
   152   0.444800E+04   0.108952E+01   0.769320E-02  -0.461159E+02
   153   0.448033E+04   0.108378E+01   0.780332E-02  -0.460994E+02
   154   0.451244E+04   0.107765E+01   0.791444E-02  -0.460583E+02
   155   0.454433E+04   0.107111E+01   0.802656E-02  -0.459921E+02
   156   0.457599E+04   0.106419E+01   0.813968E-02  -0.459008E+02
   157   0.460741E+04   0.105689E+01   0.825381E-02  -0.457840E+02
   158   0.463859E+04   0.104924E+01   0.836895E-02  -0.456415E+02
   159   0.466952E+04   0.104124E+01   0.848510E-02  -0.454731E+02
   160   0.470019E+04   0.103291E+01   0.860226E-02  -0.452787E+02
   161   0.473057E+04   0.102427E+01   0.872043E-02  -0.450578E+02
   162   0.476067E+04   0.101533E+01   0.883962E-02  -0.448106E+02
   163   0.479047E+04   0.100613E+01   0.895982E-02  -0.445365E+02
   164   0.481995E+04   0.996652E+00   0.908104E-02  -0.442356E+02
   165   0.484910E+04   0.986930E+00   0.920328E-02  -0.439076E+02
   166   0.487792E+04   0.976985E+00   0.932653E-02  -0.435525E+02
   167   0.490640E+04   0.966838E+00   0.945080E-02  -0.431700E+02
   168   0.493452E+04   0.956512E+00   0.957609E-02  -0.427602E+02
   169   0.496228E+04   0.946029E+00   0.970239E-02  -0.423230E+02
   170   0.498968E+04   0.935403E+00   0.982970E-02  -0.418583E+02
   171   0.501669E+04   0.924666E+00   0.995803E-02  -0.413660E+02
   172   0.504332E+04   0.913838E+00   0.100874E-01  -0.408462E+02
   173   0.506956E+04   0.902942E+00   0.102177E-01  -0.402988E+02
   174   0.509539E+04   0.892000E+00   0.103491E-01  -0.397237E+02
   175   0.512081E+04   0.881050E+00   0.104814E-01  -0.391211E+02
   176   0.514581E+04   0.870107E+00   0.106148E-01  -0.384909E+02
   177   0.517038E+04   0.859207E+00   0.107491E-01  -0.378332E+02
   178   0.519450E+04   0.848372E+00   0.108844E-01  -0.371480E+02
   179   0.521818E+04   0.837626E+00   0.110208E-01  -0.364353E+02
   180   0.524141E+04   0.827004E+00   0.111581E-01  -0.356952E+02
   181   0.526418E+04   0.816538E+00   0.112963E-01  -0.349281E+02
   182   0.528648E+04   0.806257E+00   0.114356E-01  -0.341338E+02
   183   0.530830E+04   0.796182E+00   0.115758E-01  -0.333126E+02
   184   0.532964E+04   0.786351E+00   0.117170E-01  -0.324647E+02
   185   0.535050E+04   0.776802E+00   0.118591E-01  -0.315900E+02
   186   0.537085E+04   0.767555E+00   0.120022E-01  -0.306890E+02
   187   0.539071E+04   0.758643E+00   0.121462E-01  -0.297616E+02
   188   0.541005E+04   0.750105E+00   0.122912E-01  -0.288082E+02
   189   0.542888E+04   0.741971E+00   0.124371E-01  -0.278290E+02
   190   0.544718E+04   0.734277E+00   0.125839E-01  -0.268242E+02
   191   0.546496E+04   0.727054E+00   0.127316E-01  -0.257942E+02
   192   0.548219E+04   0.720336E+00   0.128802E-01  -0.247390E+02
   193   0.549887E+04   0.714158E+00   0.130297E-01  -0.236590E+02
   194   0.551501E+04   0.708554E+00   0.131800E-01  -0.225545E+02
   195   0.553060E+04   0.703561E+00   0.133313E-01  -0.214259E+02
   196   0.554562E+04   0.699213E+00   0.134834E-01  -0.202736E+02
   197   0.556010E+04   0.695548E+00   0.136363E-01  -0.190978E+02
   198   0.557401E+04   0.692602E+00   0.137901E-01  -0.178990E+02
   199   0.558735E+04   0.690409E+00   0.139447E-01  -0.166774E+02
   200   0.560013E+04   0.689005E+00   0.141002E-01  -0.154336E+02
   201   0.561233E+04   0.688428E+00   0.142564E-01  -0.141678E+02
   202   0.562395E+04   0.688714E+00   0.144134E-01  -0.128807E+02
   203   0.563496E+04   0.689899E+00   0.145712E-01  -0.115723E+02
   204   0.564537E+04   0.692020E+00   0.147298E-01  -0.102434E+02
   205   0.565515E+04   0.695113E+00   0.148891E-01  -0.889419E+01
   206   0.566432E+04   0.699214E+00   0.150491E-01  -0.752519E+01
   207   0.567285E+04   0.704360E+00   0.152099E-01  -0.613675E+01
   208   0.568073E+04   0.710588E+00   0.153714E-01  -0.472948E+01
   209   0.568800E+04   0.717933E+00   0.155336E-01  -0.330390E+01
   210   0.569465E+04   0.726432E+00   0.156964E-01  -0.186058E+01
   211   0.570067E+04   0.736123E+00   0.158599E-01  -0.400068E+00
   212   0.570609E+04   0.747039E+00   0.160241E-01   0.107708E+01
   213   0.571090E+04   0.759219E+00   0.161889E-01   0.257030E+01
   214   0.571511E+04   0.772700E+00   0.163543E-01   0.407904E+01
   215   0.571873E+04   0.787510E+00   0.165203E-01   0.560270E+01
   216   0.572173E+04   0.803695E+00   0.166869E-01   0.714070E+01
   217   0.572411E+04   0.821284E+00   0.168541E-01   0.869242E+01
   218   0.572589E+04   0.840306E+00   0.170218E-01   0.102574E+02
   219   0.572704E+04   0.860805E+00   0.171901E-01   0.118348E+02
   220   0.572756E+04   0.882812E+00   0.173588E-01   0.134243E+02
   221   0.572747E+04   0.906354E+00   0.175281E-01   0.150250E+02
   222   0.572673E+04   0.931477E+00   0.176978E-01   0.166366E+02
   223   0.572537E+04   0.958202E+00   0.178680E-01   0.182581E+02
   224   0.572339E+04   0.986566E+00   0.180387E-01   0.198891E+02
   225   0.572079E+04   0.101659E+01   0.182097E-01   0.215288E+02
   226   0.571756E+04   0.104832E+01   0.183812E-01   0.231767E+02
   227   0.571371E+04   0.108178E+01   0.185531E-01   0.248319E+02
   228   0.570924E+04   0.111700E+01   0.187253E-01   0.264939E+02
   229   0.570416E+04   0.115402E+01   0.188979E-01   0.281619E+02
   230   0.569845E+04   0.119285E+01   0.190708E-01   0.298354E+02
   231   0.569214E+04   0.123352E+01   0.192440E-01   0.315135E+02
   232   0.568521E+04   0.127606E+01   0.194175E-01   0.331956E+02
   233   0.567768E+04   0.132051E+01   0.195913E-01   0.348809E+02
   234   0.566953E+04   0.136688E+01   0.197653E-01   0.365688E+02
   235   0.566078E+04   0.141520E+01   0.199396E-01   0.382586E+02
   236   0.565142E+04   0.146550E+01   0.201141E-01   0.399495E+02
   237   0.564146E+04   0.151780E+01   0.202887E-01   0.416407E+02
   238   0.563091E+04   0.157211E+01   0.204636E-01   0.433317E+02
   239   0.561977E+04   0.162845E+01   0.206386E-01   0.450216E+02
   240   0.560804E+04   0.168686E+01   0.208137E-01   0.467096E+02
   241   0.559572E+04   0.174736E+01   0.209890E-01   0.483951E+02
   242   0.558282E+04   0.180995E+01   0.211643E-01   0.500773E+02
   243   0.556935E+04   0.187467E+01   0.213397E-01   0.517555E+02
   244   0.555530E+04   0.194152E+01   0.215151E-01   0.534289E+02
   245   0.554068E+04   0.201052E+01   0.216906E-01   0.550969E+02
   246   0.552552E+04   0.208168E+01   0.218661E-01   0.567588E+02
   247   0.550979E+04   0.215502E+01   0.220416E-01   0.584137E+02
   248   0.549353E+04   0.223056E+01   0.222171E-01   0.600610E+02
   249   0.547672E+04   0.230830E+01   0.223925E-01   0.617000E+02
