#    L    TT             EE             BB             TE          
  1574   0.473141E+03   0.195737E+02   0.780967E-01   0.104248E+01
  1575   0.470856E+03   0.196399E+02   0.780139E-01   0.761966E+00
  1576   0.468599E+03   0.197045E+02   0.779314E-01   0.476160E+00
  1577   0.466373E+03   0.197674E+02   0.778491E-01   0.185209E+00
  1578   0.464176E+03   0.198285E+02   0.777671E-01  -0.110715E+00
  1579   0.462010E+03   0.198879E+02   0.776853E-01  -0.411464E+00
  1580   0.459873E+03   0.199454E+02   0.776037E-01  -0.716882E+00
  1581   0.457767E+03   0.200011E+02   0.775225E-01  -0.102682E+01
  1582   0.455692E+03   0.200550E+02   0.774415E-01  -0.134112E+01
  1583   0.453648E+03   0.201071E+02   0.773608E-01  -0.165963E+01
  1584   0.451635E+03   0.201572E+02   0.772803E-01  -0.198220E+01
  1585   0.449653E+03   0.202054E+02   0.772002E-01  -0.230868E+01
  1586   0.447702E+03   0.202517E+02   0.771204E-01  -0.263891E+01
  1587   0.445784E+03   0.202960E+02   0.770408E-01  -0.297274E+01
  1588   0.443896E+03   0.203383E+02   0.769616E-01  -0.331000E+01
  1589   0.442041E+03   0.203787E+02   0.768828E-01  -0.365054E+01
  1590   0.440217E+03   0.204170E+02   0.768042E-01  -0.399418E+01
  1591   0.438425E+03   0.204533E+02   0.767260E-01  -0.434078E+01
  1592   0.436666E+03   0.204876E+02   0.766482E-01  -0.469017E+01
  1593   0.434939E+03   0.205198E+02   0.765707E-01  -0.504218E+01
  1594   0.433244E+03   0.205499E+02   0.764935E-01  -0.539666E+01
  1595   0.431581E+03   0.205779E+02   0.764168E-01  -0.575345E+01
  1596   0.429950E+03   0.206039E+02   0.763403E-01  -0.611237E+01
  1597   0.428353E+03   0.206277E+02   0.762643E-01  -0.647327E+01
  1598   0.426787E+03   0.206494E+02   0.761886E-01  -0.683599E+01
  1599   0.425254E+03   0.206690E+02   0.761134E-01  -0.720035E+01
  1600   0.423753E+03   0.206865E+02   0.760385E-01  -0.756621E+01
  1601   0.422285E+03   0.207018E+02   0.759640E-01  -0.793339E+01
  1602   0.420849E+03   0.207150E+02   0.758899E-01  -0.830176E+01
  1603   0.419445E+03   0.207260E+02   0.758163E-01  -0.867114E+01
  1604   0.418073E+03   0.207348E+02   0.757430E-01  -0.904138E+01
  1605   0.416734E+03   0.207415E+02   0.756702E-01  -0.941234E+01
  1606   0.415426E+03   0.207460E+02   0.755977E-01  -0.978385E+01
  1607   0.414150E+03   0.207483E+02   0.755257E-01  -0.101557E+02
  1608   0.412907E+03   0.207484E+02   0.754541E-01  -0.105279E+02
  1609   0.411694E+03   0.207463E+02   0.753830E-01  -0.109001E+02
  1610   0.410514E+03   0.207421E+02   0.753122E-01  -0.112722E+02
  1611   0.409365E+03   0.207357E+02   0.752420E-01  -0.116440E+02
  1612   0.408247E+03   0.207272E+02   0.751721E-01  -0.120155E+02
  1613   0.407161E+03   0.207165E+02   0.751027E-01  -0.123864E+02
  1614   0.406105E+03   0.207037E+02   0.750337E-01  -0.127565E+02
  1615   0.405081E+03   0.206888E+02   0.749652E-01  -0.131257E+02
  1616   0.404087E+03   0.206717E+02   0.748971E-01  -0.134940E+02
  1617   0.403123E+03   0.206526E+02   0.748295E-01  -0.138610E+02
  1618   0.402190E+03   0.206313E+02   0.747623E-01  -0.142268E+02
  1619   0.401287E+03   0.206079E+02   0.746956E-01  -0.145911E+02
  1620   0.400414E+03   0.205825E+02   0.746293E-01  -0.149537E+02
  1621   0.399570E+03   0.205549E+02   0.745635E-01  -0.153147E+02
  1622   0.398755E+03   0.205252E+02   0.744981E-01  -0.156737E+02
  1623   0.397970E+03   0.204935E+02   0.744332E-01  -0.160307E+02
  1624   0.397213E+03   0.204597E+02   0.743687E-01  -0.163856E+02
  1625   0.396484E+03   0.204239E+02   0.743047E-01  -0.167381E+02
  1626   0.395784E+03   0.203861E+02   0.742412E-01  -0.170882E+02
  1627   0.395112E+03   0.203463E+02   0.741781E-01  -0.174358E+02
  1628   0.394468E+03   0.203045E+02   0.741155E-01  -0.177805E+02
  1629   0.393850E+03   0.202607E+02   0.740533E-01  -0.181225E+02
  1630   0.393260E+03   0.202150E+02   0.739916E-01  -0.184615E+02
  1631   0.392696E+03   0.201673E+02   0.739303E-01  -0.187974E+02
  1632   0.392159E+03   0.201177E+02   0.738695E-01  -0.191300E+02
  1633   0.391647E+03   0.200662E+02   0.738091E-01  -0.194593E+02
  1634   0.391162E+03   0.200128E+02   0.737492E-01  -0.197852E+02
  1635   0.390701E+03   0.199574E+02   0.736898E-01  -0.201075E+02
  1636   0.390265E+03   0.199003E+02   0.736307E-01  -0.204260E+02
  1637   0.389854E+03   0.198413E+02   0.735722E-01  -0.207408E+02
  1638   0.389467E+03   0.197805E+02   0.735140E-01  -0.210516E+02
  1639   0.389104E+03   0.197179E+02   0.734564E-01  -0.213584E+02
  1640   0.388764E+03   0.196536E+02   0.733991E-01  -0.216611E+02
  1641   0.388447E+03   0.195876E+02   0.733423E-01  -0.219595E+02
  1642   0.388153E+03   0.195198E+02   0.732859E-01  -0.222536E+02
  1643   0.387881E+03   0.194504E+02   0.732300E-01  -0.225432E+02
  1644   0.387631E+03   0.193794E+02   0.731745E-01  -0.228283E+02
  1645   0.387401E+03   0.193067E+02   0.731194E-01  -0.231087E+02
  1646   0.387193E+03   0.192324E+02   0.730647E-01  -0.233844E+02
  1647   0.387006E+03   0.191566E+02   0.730105E-01  -0.236553E+02
  1648   0.386838E+03   0.190792E+02   0.729566E-01  -0.239212E+02
  1649   0.386690E+03   0.190002E+02   0.729032E-01  -0.241821E+02
  1650   0.386561E+03   0.189198E+02   0.728502E-01  -0.244379E+02
  1651   0.386451E+03   0.188379E+02   0.727976E-01  -0.246886E+02
  1652   0.386359E+03   0.187546E+02   0.727454E-01  -0.249341E+02
  1653   0.386285E+03   0.186699E+02   0.726936E-01  -0.251742E+02
  1654   0.386228E+03   0.185837E+02   0.726421E-01  -0.254089E+02
  1655   0.386188E+03   0.184963E+02   0.725911E-01  -0.256382E+02
  1656   0.386165E+03   0.184075E+02   0.725404E-01  -0.258620E+02
  1657   0.386157E+03   0.183175E+02   0.724901E-01  -0.260801E+02
  1658   0.386165E+03   0.182262E+02   0.724402E-01  -0.262927E+02
  1659   0.386188E+03   0.181337E+02   0.723907E-01  -0.264995E+02
  1660   0.386226E+03   0.180400E+02   0.723415E-01  -0.267006E+02
  1661   0.386278E+03   0.179452E+02   0.722926E-01  -0.268958E+02
  1662   0.386343E+03   0.178493E+02   0.722441E-01  -0.270852E+02
  1663   0.386421E+03   0.177523E+02   0.721960E-01  -0.272687E+02
  1664   0.386512E+03   0.176543E+02   0.721482E-01  -0.274463E+02
  1665   0.386615E+03   0.175552E+02   0.721007E-01  -0.276178E+02
  1666   0.386730E+03   0.174552E+02   0.720536E-01  -0.277834E+02
  1667   0.386855E+03   0.173543E+02   0.720067E-01  -0.279428E+02
  1668   0.386992E+03   0.172524E+02   0.719602E-01  -0.280961E+02
  1669   0.387139E+03   0.171496E+02   0.719140E-01  -0.282433E+02
  1670   0.387295E+03   0.170461E+02   0.718681E-01  -0.283843E+02
  1671   0.387461E+03   0.169417E+02   0.718225E-01  -0.285191E+02
  1672   0.387635E+03   0.168365E+02   0.717771E-01  -0.286476E+02
  1673   0.387817E+03   0.167306E+02   0.717321E-01  -0.287699E+02
  1674   0.388008E+03   0.166241E+02   0.716873E-01  -0.288860E+02
  1675   0.388205E+03   0.165169E+02   0.716428E-01  -0.289958E+02
  1676   0.388410E+03   0.164091E+02   0.715986E-01  -0.290993E+02
  1677   0.388621E+03   0.163008E+02   0.715546E-01  -0.291965E+02
  1678   0.388838E+03   0.161919E+02   0.715109E-01  -0.292875E+02
  1679   0.389060E+03   0.160825E+02   0.714674E-01  -0.293722E+02
  1680   0.389287E+03   0.159727E+02   0.714241E-01  -0.294505E+02
  1681   0.389519E+03   0.158625E+02   0.713810E-01  -0.295225E+02
  1682   0.389754E+03   0.157519E+02   0.713382E-01  -0.295883E+02
  1683   0.389993E+03   0.156410E+02   0.712956E-01  -0.296477E+02
  1684   0.390235E+03   0.155297E+02   0.712532E-01  -0.297008E+02
  1685   0.390479E+03   0.154182E+02   0.712110E-01  -0.297477E+02
  1686   0.390726E+03   0.153064E+02   0.711690E-01  -0.297882E+02
  1687   0.390974E+03   0.151944E+02   0.711271E-01  -0.298225E+02
  1688   0.391224E+03   0.150822E+02   0.710854E-01  -0.298506E+02
  1689   0.391474E+03   0.149699E+02   0.710440E-01  -0.298724E+02
  1690   0.391725E+03   0.148576E+02   0.710026E-01  -0.298880E+02
  1691   0.391975E+03   0.147451E+02   0.709614E-01  -0.298975E+02
  1692   0.392225E+03   0.146327E+02   0.709204E-01  -0.299008E+02
  1693   0.392473E+03   0.145202E+02   0.708795E-01  -0.298980E+02
  1694   0.392720E+03   0.144079E+02   0.708387E-01  -0.298891E+02
  1695   0.392965E+03   0.142956E+02   0.707980E-01  -0.298741E+02
  1696   0.393208E+03   0.141833E+02   0.707575E-01  -0.298530E+02
  1697   0.393448E+03   0.140713E+02   0.707170E-01  -0.298260E+02
  1698   0.393685E+03   0.139594E+02   0.706767E-01  -0.297930E+02
  1699   0.393917E+03   0.138477E+02   0.706365E-01  -0.297541E+02
  1700   0.394146E+03   0.137363E+02   0.705963E-01  -0.297093E+02
  1701   0.394371E+03   0.136252E+02   0.705562E-01  -0.296587E+02
  1702   0.394590E+03   0.135144E+02   0.705162E-01  -0.296023E+02
  1703   0.394805E+03   0.134040E+02   0.704762E-01  -0.295402E+02
  1704   0.395013E+03   0.132939E+02   0.704363E-01  -0.294725E+02
  1705   0.395216E+03   0.131843E+02   0.703964E-01  -0.293992E+02
  1706   0.395413E+03   0.130752E+02   0.703566E-01  -0.293204E+02
  1707   0.395603E+03   0.129665E+02   0.703168E-01  -0.292361E+02
  1708   0.395786E+03   0.128584E+02   0.702770E-01  -0.291465E+02
  1709   0.395962E+03   0.127508E+02   0.702373E-01  -0.290515E+02
  1710   0.396129E+03   0.126439E+02   0.701975E-01  -0.289512E+02
  1711   0.396289E+03   0.125375E+02   0.701578E-01  -0.288457E+02
  1712   0.396441E+03   0.124318E+02   0.701180E-01  -0.287351E+02
  1713   0.396583E+03   0.123267E+02   0.700782E-01  -0.286194E+02
  1714   0.396717E+03   0.122224E+02   0.700384E-01  -0.284987E+02
  1715   0.396841E+03   0.121188E+02   0.699986E-01  -0.283731E+02
  1716   0.396956E+03   0.120159E+02   0.699587E-01  -0.282427E+02
  1717   0.397061E+03   0.119139E+02   0.699188E-01  -0.281075E+02
  1718   0.397155E+03   0.118127E+02   0.698789E-01  -0.279677E+02
  1719   0.397239E+03   0.117123E+02   0.698389E-01  -0.278232E+02
  1720   0.397312E+03   0.116128E+02   0.697988E-01  -0.276742E+02
  1721   0.397374E+03   0.115142E+02   0.697586E-01  -0.275208E+02
  1722   0.397425E+03   0.114165E+02   0.697184E-01  -0.273631E+02
  1723   0.397464E+03   0.113198E+02   0.696781E-01  -0.272011E+02
  1724   0.397492E+03   0.112241E+02   0.696377E-01  -0.270349E+02
  1725   0.397507E+03   0.111293E+02   0.695972E-01  -0.268648E+02
  1726   0.397510E+03   0.110356E+02   0.695566E-01  -0.266906E+02
  1727   0.397501E+03   0.109430E+02   0.695159E-01  -0.265125E+02
  1728   0.397479E+03   0.108514E+02   0.694751E-01  -0.263306E+02
  1729   0.397444E+03   0.107610E+02   0.694341E-01  -0.261450E+02
  1730   0.397396E+03   0.106716E+02   0.693930E-01  -0.259558E+02
  1731   0.397334E+03   0.105834E+02   0.693518E-01  -0.257630E+02
  1732   0.397259E+03   0.104964E+02   0.693105E-01  -0.255669E+02
  1733   0.397169E+03   0.104105E+02   0.692690E-01  -0.253673E+02
  1734   0.397066E+03   0.103258E+02   0.692273E-01  -0.251645E+02
  1735   0.396948E+03   0.102424E+02   0.691855E-01  -0.249586E+02
  1736   0.396817E+03   0.101602E+02   0.691435E-01  -0.247497E+02
  1737   0.396671E+03   0.100793E+02   0.691013E-01  -0.245378E+02
  1738   0.396510E+03   0.999959E+01   0.690590E-01  -0.243231E+02
  1739   0.396335E+03   0.992124E+01   0.690165E-01  -0.241058E+02
  1740   0.396145E+03   0.984420E+01   0.689738E-01  -0.238858E+02
  1741   0.395941E+03   0.976848E+01   0.689309E-01  -0.236632E+02
  1742   0.395721E+03   0.969412E+01   0.688879E-01  -0.234384E+02
  1743   0.395486E+03   0.962110E+01   0.688446E-01  -0.232112E+02
  1744   0.395236E+03   0.954947E+01   0.688011E-01  -0.229817E+02
  1745   0.394971E+03   0.947922E+01   0.687574E-01  -0.227502E+02
  1746   0.394690E+03   0.941038E+01   0.687135E-01  -0.225167E+02
  1747   0.394394E+03   0.934292E+01   0.686694E-01  -0.222813E+02
  1748   0.394082E+03   0.927691E+01   0.686250E-01  -0.220441E+02
  1749   0.393754E+03   0.921232E+01   0.685804E-01  -0.218052E+02
  1750   0.393411E+03   0.914916E+01   0.685356E-01  -0.215647E+02
  1751   0.393052E+03   0.908746E+01   0.684906E-01  -0.213227E+02
  1752   0.392677E+03   0.902723E+01   0.684453E-01  -0.210794E+02
  1753   0.392287E+03   0.896846E+01   0.683998E-01  -0.208348E+02
  1754   0.391881E+03   0.891117E+01   0.683540E-01  -0.205890E+02
  1755   0.391458E+03   0.885537E+01   0.683080E-01  -0.203422E+02
  1756   0.391021E+03   0.880106E+01   0.682617E-01  -0.200944E+02
  1757   0.390567E+03   0.874824E+01   0.682152E-01  -0.198458E+02
  1758   0.390097E+03   0.869691E+01   0.681684E-01  -0.195965E+02
  1759   0.389612E+03   0.864711E+01   0.681213E-01  -0.193465E+02
  1760   0.389111E+03   0.859881E+01   0.680740E-01  -0.190960E+02
  1761   0.388594E+03   0.855201E+01   0.680264E-01  -0.188450E+02
  1762   0.388061E+03   0.850674E+01   0.679786E-01  -0.185937E+02
  1763   0.387512E+03   0.846298E+01   0.679305E-01  -0.183422E+02
  1764   0.386948E+03   0.842074E+01   0.678821E-01  -0.180905E+02
  1765   0.386369E+03   0.838002E+01   0.678334E-01  -0.178389E+02
  1766   0.385774E+03   0.834082E+01   0.677844E-01  -0.175873E+02
  1767   0.385164E+03   0.830314E+01   0.677352E-01  -0.173360E+02
  1768   0.384539E+03   0.826699E+01   0.676857E-01  -0.170849E+02
  1769   0.383899E+03   0.823235E+01   0.676359E-01  -0.168342E+02
  1770   0.383244E+03   0.819924E+01   0.675858E-01  -0.165840E+02
  1771   0.382575E+03   0.816764E+01   0.675354E-01  -0.163345E+02
  1772   0.381890E+03   0.813754E+01   0.674848E-01  -0.160856E+02
  1773   0.381191E+03   0.810896E+01   0.674338E-01  -0.158375E+02
  1774   0.380477E+03   0.808188E+01   0.673826E-01  -0.155903E+02
  1775   0.379749E+03   0.805630E+01   0.673311E-01  -0.153440E+02
  1776   0.379007E+03   0.803221E+01   0.672792E-01  -0.150988E+02
  1777   0.378251E+03   0.800961E+01   0.672271E-01  -0.148548E+02
  1778   0.377481E+03   0.798849E+01   0.671747E-01  -0.146120E+02
  1779   0.376696E+03   0.796885E+01   0.671220E-01  -0.143706E+02
  1780   0.375899E+03   0.795067E+01   0.670690E-01  -0.141306E+02
  1781   0.375087E+03   0.793394E+01   0.670157E-01  -0.138921E+02
  1782   0.374263E+03   0.791867E+01   0.669622E-01  -0.136552E+02
  1783   0.373425E+03   0.790485E+01   0.669083E-01  -0.134200E+02
  1784   0.372575E+03   0.789244E+01   0.668541E-01  -0.131866E+02
  1785   0.371711E+03   0.788147E+01   0.667997E-01  -0.129551E+02
  1786   0.370835E+03   0.787190E+01   0.667449E-01  -0.127255E+02
  1787   0.369947E+03   0.786373E+01   0.666899E-01  -0.124980E+02
  1788   0.369047E+03   0.785694E+01   0.666346E-01  -0.122725E+02
  1789   0.368134E+03   0.785154E+01   0.665790E-01  -0.120493E+02
  1790   0.367210E+03   0.784749E+01   0.665231E-01  -0.118283E+02
  1791   0.366274E+03   0.784480E+01   0.664669E-01  -0.116096E+02
  1792   0.365327E+03   0.784343E+01   0.664104E-01  -0.113934E+02
  1793   0.364369E+03   0.784339E+01   0.663537E-01  -0.111796E+02
  1794   0.363400E+03   0.784466E+01   0.662966E-01  -0.109684E+02
  1795   0.362420E+03   0.784722E+01   0.662393E-01  -0.107599E+02
  1796   0.361429E+03   0.785105E+01   0.661817E-01  -0.105540E+02
  1797   0.360428E+03   0.785614E+01   0.661239E-01  -0.103509E+02
  1798   0.359417E+03   0.786248E+01   0.660657E-01  -0.101507E+02
  1799   0.358396E+03   0.787005E+01   0.660073E-01  -0.995329E+01
  1800   0.357366E+03   0.787882E+01   0.659486E-01  -0.975891E+01
  1801   0.356326E+03   0.788879E+01   0.658897E-01  -0.956755E+01
  1802   0.355278E+03   0.789994E+01   0.658304E-01  -0.937927E+01
  1803   0.354221E+03   0.791224E+01   0.657710E-01  -0.919414E+01
  1804   0.353155E+03   0.792568E+01   0.657112E-01  -0.901222E+01
  1805   0.352081E+03   0.794024E+01   0.656512E-01  -0.883355E+01
  1806   0.351000E+03   0.795590E+01   0.655910E-01  -0.865819E+01
  1807   0.349910E+03   0.797264E+01   0.655305E-01  -0.848617E+01
  1808   0.348814E+03   0.799044E+01   0.654697E-01  -0.831757E+01
  1809   0.347710E+03   0.800929E+01   0.654087E-01  -0.815242E+01
  1810   0.346599E+03   0.802915E+01   0.653475E-01  -0.799077E+01
  1811   0.345482E+03   0.805001E+01   0.652860E-01  -0.783266E+01
  1812   0.344358E+03   0.807184E+01   0.652243E-01  -0.767813E+01
  1813   0.343228E+03   0.809464E+01   0.651623E-01  -0.752722E+01
  1814   0.342093E+03   0.811837E+01   0.651002E-01  -0.737998E+01
  1815   0.340952E+03   0.814301E+01   0.650378E-01  -0.723644E+01
  1816   0.339806E+03   0.816854E+01   0.649751E-01  -0.709662E+01
  1817   0.338655E+03   0.819494E+01   0.649123E-01  -0.696058E+01
  1818   0.337500E+03   0.822219E+01   0.648493E-01  -0.682833E+01
  1819   0.336340E+03   0.825026E+01   0.647860E-01  -0.669992E+01
  1820   0.335176E+03   0.827913E+01   0.647225E-01  -0.657536E+01
  1821   0.334009E+03   0.830876E+01   0.646589E-01  -0.645468E+01
  1822   0.332838E+03   0.833917E+01   0.645950E-01  -0.633792E+01
  1823   0.331664E+03   0.837031E+01   0.645310E-01  -0.622509E+01
  1824   0.330487E+03   0.840213E+01   0.644667E-01  -0.611622E+01
  1825   0.329308E+03   0.843463E+01   0.644023E-01  -0.601132E+01
  1826   0.328126E+03   0.846783E+01   0.643377E-01  -0.591042E+01
  1827   0.326942E+03   0.850162E+01   0.642730E-01  -0.581352E+01
  1828   0.325756E+03   0.853603E+01   0.642080E-01  -0.572064E+01
  1829   0.324570E+03   0.857104E+01   0.641429E-01  -0.563178E+01
  1830   0.323382E+03   0.860661E+01   0.640777E-01  -0.554697E+01
  1831   0.322193E+03   0.864271E+01   0.640122E-01  -0.546621E+01
  1832   0.321004E+03   0.867932E+01   0.639467E-01  -0.538950E+01
  1833   0.319815E+03   0.871641E+01   0.638810E-01  -0.531686E+01
  1834   0.318626E+03   0.875398E+01   0.638151E-01  -0.524827E+01
  1835   0.317438E+03   0.879198E+01   0.637491E-01  -0.518376E+01
  1836   0.316250E+03   0.883039E+01   0.636830E-01  -0.512331E+01
  1837   0.315063E+03   0.886919E+01   0.636167E-01  -0.506693E+01
  1838   0.313877E+03   0.890836E+01   0.635504E-01  -0.501462E+01
  1839   0.312693E+03   0.894787E+01   0.634839E-01  -0.496637E+01
  1840   0.311510E+03   0.898769E+01   0.634173E-01  -0.492218E+01
  1841   0.310329E+03   0.902781E+01   0.633506E-01  -0.488203E+01
  1842   0.309151E+03   0.906816E+01   0.632838E-01  -0.484591E+01
  1843   0.307975E+03   0.910878E+01   0.632169E-01  -0.481382E+01
  1844   0.306802E+03   0.914960E+01   0.631499E-01  -0.478574E+01
  1845   0.305632E+03   0.919059E+01   0.630829E-01  -0.476167E+01
  1846   0.304466E+03   0.923177E+01   0.630157E-01  -0.474158E+01
  1847   0.303303E+03   0.927309E+01   0.629485E-01  -0.472545E+01
  1848   0.302144E+03   0.931452E+01   0.628812E-01  -0.471328E+01
  1849   0.300989E+03   0.935603E+01   0.628138E-01  -0.470503E+01
  1850   0.299839E+03   0.939760E+01   0.627464E-01  -0.470070E+01
  1851   0.298692E+03   0.943922E+01   0.626790E-01  -0.470025E+01
  1852   0.297551E+03   0.948084E+01   0.626115E-01  -0.470368E+01
  1853   0.296415E+03   0.952248E+01   0.625439E-01  -0.471094E+01
  1854   0.295284E+03   0.956404E+01   0.624763E-01  -0.472201E+01
  1855   0.294159E+03   0.960558E+01   0.624087E-01  -0.473684E+01
  1856   0.293039E+03   0.964702E+01   0.623411E-01  -0.475542E+01
  1857   0.291926E+03   0.968838E+01   0.622734E-01  -0.477771E+01
  1858   0.290819E+03   0.972960E+01   0.622057E-01  -0.480366E+01
  1859   0.289718E+03   0.977067E+01   0.621381E-01  -0.483326E+01
  1860   0.288624E+03   0.981156E+01   0.620704E-01  -0.486644E+01
  1861   0.287537E+03   0.985229E+01   0.620027E-01  -0.490319E+01
  1862   0.286457E+03   0.989277E+01   0.619350E-01  -0.494344E+01
  1863   0.285385E+03   0.993303E+01   0.618673E-01  -0.498718E+01
  1864   0.284320E+03   0.997306E+01   0.617997E-01  -0.503435E+01
  1865   0.283263E+03   0.100128E+02   0.617320E-01  -0.508491E+01
  1866   0.282213E+03   0.100522E+02   0.616644E-01  -0.513882E+01
  1867   0.281172E+03   0.100913E+02   0.615969E-01  -0.519603E+01
  1868   0.280140E+03   0.101300E+02   0.615293E-01  -0.525649E+01
  1869   0.279115E+03   0.101684E+02   0.614618E-01  -0.532016E+01
  1870   0.278100E+03   0.102064E+02   0.613944E-01  -0.538697E+01
  1871   0.277094E+03   0.102440E+02   0.613270E-01  -0.545689E+01
  1872   0.276096E+03   0.102812E+02   0.612597E-01  -0.552986E+01
  1873   0.275108E+03   0.103179E+02   0.611924E-01  -0.560583E+01
  1874   0.274128E+03   0.103542E+02   0.611252E-01  -0.568474E+01
  1875   0.273159E+03   0.103900E+02   0.610580E-01  -0.576654E+01
  1876   0.272199E+03   0.104253E+02   0.609910E-01  -0.585118E+01
  1877   0.271250E+03   0.104601E+02   0.609240E-01  -0.593858E+01
  1878   0.270310E+03   0.104943E+02   0.608571E-01  -0.602871E+01
  1879   0.269380E+03   0.105280E+02   0.607903E-01  -0.612149E+01
  1880   0.268461E+03   0.105611E+02   0.607236E-01  -0.621687E+01
  1881   0.267552E+03   0.105936E+02   0.606570E-01  -0.631480E+01
  1882   0.266654E+03   0.106255E+02   0.605905E-01  -0.641521E+01
  1883   0.265766E+03   0.106568E+02   0.605242E-01  -0.651804E+01
  1884   0.264889E+03   0.106875E+02   0.604579E-01  -0.662323E+01
  1885   0.264022E+03   0.107174E+02   0.603917E-01  -0.673072E+01
  1886   0.263167E+03   0.107468E+02   0.603257E-01  -0.684045E+01
  1887   0.262323E+03   0.107754E+02   0.602598E-01  -0.695236E+01
  1888   0.261490E+03   0.108033E+02   0.601940E-01  -0.706638E+01
  1889   0.260668E+03   0.108305E+02   0.601284E-01  -0.718244E+01
  1890   0.259858E+03   0.108570E+02   0.600629E-01  -0.730048E+01
  1891   0.259059E+03   0.108828E+02   0.599976E-01  -0.742043E+01
  1892   0.258272E+03   0.109077E+02   0.599323E-01  -0.754221E+01
  1893   0.257496E+03   0.109320E+02   0.598673E-01  -0.766577E+01
  1894   0.256731E+03   0.109554E+02   0.598024E-01  -0.779104E+01
  1895   0.255979E+03   0.109781E+02   0.597377E-01  -0.791793E+01
  1896   0.255238E+03   0.109999E+02   0.596731E-01  -0.804640E+01
  1897   0.254510E+03   0.110210E+02   0.596087E-01  -0.817637E+01
  1898   0.253793E+03   0.110412E+02   0.595444E-01  -0.830778E+01
  1899   0.253088E+03   0.110605E+02   0.594804E-01  -0.844056E+01
  1900   0.252395E+03   0.110791E+02   0.594165E-01  -0.857464E+01
  1901   0.251714E+03   0.110967E+02   0.593528E-01  -0.870995E+01
  1902   0.251045E+03   0.111135E+02   0.592892E-01  -0.884643E+01
  1903   0.250387E+03   0.111294E+02   0.592259E-01  -0.898399E+01
  1904   0.249742E+03   0.111444E+02   0.591627E-01  -0.912260E+01
  1905   0.249109E+03   0.111586E+02   0.590998E-01  -0.926214E+01
  1906   0.248489E+03   0.111718E+02   0.590370E-01  -0.940258E+01
  1907   0.247880E+03   0.111841E+02   0.589744E-01  -0.954385E+01
  1908   0.247283E+03   0.111955E+02   0.589120E-01  -0.968583E+01
  1909   0.246698E+03   0.112060E+02   0.588499E-01  -0.982851E+01
  1910   0.246126E+03   0.112156E+02   0.587879E-01  -0.997181E+01
  1911   0.245565E+03   0.112242E+02   0.587261E-01  -0.101156E+02
  1912   0.245016E+03   0.112319E+02   0.586646E-01  -0.102599E+02
  1913   0.244479E+03   0.112387E+02   0.586033E-01  -0.104046E+02
  1914   0.243954E+03   0.112445E+02   0.585421E-01  -0.105496E+02
  1915   0.243441E+03   0.112493E+02   0.584812E-01  -0.106949E+02
  1916   0.242940E+03   0.112532E+02   0.584205E-01  -0.108404E+02
  1917   0.242451E+03   0.112561E+02   0.583601E-01  -0.109859E+02
  1918   0.241973E+03   0.112581E+02   0.582998E-01  -0.111316E+02
  1919   0.241508E+03   0.112591E+02   0.582398E-01  -0.112772E+02
  1920   0.241054E+03   0.112592E+02   0.581800E-01  -0.114228E+02
  1921   0.240611E+03   0.112583E+02   0.581205E-01  -0.115682E+02
  1922   0.240180E+03   0.112564E+02   0.580611E-01  -0.117133E+02
  1923   0.239760E+03   0.112536E+02   0.580020E-01  -0.118582E+02
  1924   0.239353E+03   0.112499E+02   0.579432E-01  -0.120028E+02
  1925   0.238956E+03   0.112451E+02   0.578845E-01  -0.121469E+02
  1926   0.238570E+03   0.112394E+02   0.578261E-01  -0.122906E+02
  1927   0.238196E+03   0.112328E+02   0.577679E-01  -0.124336E+02
  1928   0.237832E+03   0.112252E+02   0.577100E-01  -0.125761E+02
  1929   0.237480E+03   0.112166E+02   0.576523E-01  -0.127179E+02
  1930   0.237138E+03   0.112071E+02   0.575948E-01  -0.128590E+02
  1931   0.236807E+03   0.111967E+02   0.575376E-01  -0.129993E+02
  1932   0.236487E+03   0.111853E+02   0.574806E-01  -0.131387E+02
  1933   0.236177E+03   0.111729E+02   0.574239E-01  -0.132772E+02
  1934   0.235878E+03   0.111596E+02   0.573674E-01  -0.134147E+02
  1935   0.235589E+03   0.111454E+02   0.573111E-01  -0.135511E+02
  1936   0.235310E+03   0.111302E+02   0.572551E-01  -0.136865E+02
  1937   0.235041E+03   0.111142E+02   0.571993E-01  -0.138207E+02
  1938   0.234783E+03   0.110972E+02   0.571438E-01  -0.139536E+02
  1939   0.234534E+03   0.110793E+02   0.570885E-01  -0.140853E+02
  1940   0.234294E+03   0.110604E+02   0.570334E-01  -0.142157E+02
  1941   0.234064E+03   0.110407E+02   0.569786E-01  -0.143447E+02
  1942   0.233844E+03   0.110201E+02   0.569240E-01  -0.144722E+02
  1943   0.233633E+03   0.109986E+02   0.568697E-01  -0.145983E+02
  1944   0.233430E+03   0.109762E+02   0.568155E-01  -0.147228E+02
  1945   0.233237E+03   0.109529E+02   0.567617E-01  -0.148457E+02
  1946   0.233053E+03   0.109288E+02   0.567080E-01  -0.149669E+02
  1947   0.232877E+03   0.109038E+02   0.566547E-01  -0.150865E+02
  1948   0.232709E+03   0.108779E+02   0.566015E-01  -0.152042E+02
  1949   0.232550E+03   0.108512E+02   0.565486E-01  -0.153202E+02
  1950   0.232399E+03   0.108237E+02   0.564959E-01  -0.154343E+02
  1951   0.232256E+03   0.107953E+02   0.564435E-01  -0.155466E+02
